Wavelength (nm),Sum(calc),H I (9.6e-5),He I (1.0e-1),He II (2.5e-7),N I (9.4e-2),N II (5.3e-3),N III (2.7e-11),O I (3.9e-1),O II (1.3e-2),O III (9.2e-13),Si I (4.3e-5),Si II (3.6e-4),Si III (2.9e-7),Ar I (3.8e-1),Ar II (1.9e-2),Ar III (1.9e-9),Mn I (3.3e-6),Mn II (9.6e-5),Fe I (4.4e-6),Fe II (9.5e-5),Fe III (2.2e-7),Cu I (8.6e-6),Cu II (9.1e-5),La I (6.8e-7),La II (8.3e-5),W I (4.7e-6),W II (9.5e-5),W III (2.7e-7)
194.0,1.285e-12,,,,,,,,,,,,,,,,,,,1.285e-12,2.208e-18,,,,,,,
194.2,1.368e-11,,,,,,,,,,,,3.322e-23,,,,,7.321e-14,,1.360e-11,5.782e-17,,,,,,,1.100e-14
194.4,1.337e-10,,,,,,,,,,,4.097e-16,3.372e-22,,,,,7.719e-13,,1.328e-10,6.170e-16,,,,,,,1.161e-13
194.6,1.206e-9,,,,,,,,,,,4.463e-15,3.160e-21,,,,,7.514e-12,,1.198e-9,5.779e-15,,,,,,,1.130e-12
194.8,1.005e-8,,,,,,,,,,,4.490e-14,2.734e-20,,,,,6.753e-11,,9.969e-9,4.996e-14,,,,,,,1.016e-11
195.0,7.726e-8,,,,,,,,,,,4.171e-13,2.184e-19,,,,,5.604e-10,,7.661e-8,3.993e-13,,,,,,,8.436e-11
195.2,5.485e-7,,,,,,,,,,,3.578e-12,1.610e-18,,,,,4.293e-9,,5.435e-7,2.951e-12,,1.318e-13,,,,,6.465e-10
195.4,3.594e-6,,,,,,,,,,,2.835e-11,1.096e-17,,,,,3.036e-8,,3.559e-6,2.019e-11,,1.409e-12,,,,,4.574e-9
195.6,2.175e-5,,,,,,,,6.910e-21,,,2.075e-10,6.891e-17,,,,,1.983e-7,,2.152e-5,1.278e-10,,1.724e-11,,,,,2.988e-8
195.8,1.215e-4,,,,,,,,7.324e-20,,,1.402e-9,3.999e-16,,,,,1.195e-6,,1.201e-4,7.490e-10,,1.609e-10,,,,,1.802e-7
196.0,6.265e-4,,,,,,,,7.850e-19,,,8.747e-9,2.142e-15,,,,,6.655e-6,,6.188e-4,4.064e-9,,1.391e-9,,,,,1.003e-6
196.2,2.983e-3,,,,,,,,7.182e-18,,,5.041e-8,1.060e-14,,,,,3.420e-5,,2.943e-3,2.043e-8,,1.114e-8,,,,,5.158e-6
196.4,1.311e-2,,,,,,,,6.081e-17,,,2.683e-7,4.841e-14,,,,,1.623e-4,,1.292e-2,9.512e-8,3.151e-12,8.266e-8,,,,,2.448e-5
196.6,5.322e-2,,,,,,,,4.765e-16,,,1.319e-6,2.042e-13,,,,,7.108e-4,,5.239e-2,4.105e-7,3.155e-11,5.681e-7,,,,,1.073e-4
196.8,1.994e-1,,,,,,,,3.456e-15,,,5.988e-6,7.953e-13,,,,,2.875e-3,,1.961e-1,1.643e-6,2.921e-10,3.618e-6,,,,,4.339e-4
197.0,6.899e-1,,,,,,,,2.321e-14,,,2.511e-5,2.861e-12,,,,,1.074e-2,,6.775e-1,6.096e-6,2.501e-9,2.135e-5,,,,,1.621e-3
197.2,2.204e+0,,,,,,,,1.443e-13,,,9.728e-5,9.508e-12,,,,,3.701e-2,,2.161e+0,2.099e-5,1.981e-8,1.168e-4,,,,,5.589e-3
197.4,6.502e+0,,,,,,,,8.307e-13,,,3.482e-4,2.920e-11,,,,,1.178e-1,,6.366e+0,6.708e-5,1.451e-7,5.923e-4,,,,,1.779e-2
197.6,1.772e+1,,,,,,,,4.430e-12,,,1.152e-3,8.285e-11,,,,,3.462e-1,,1.731e+1,1.991e-4,9.828e-7,2.785e-3,,,,,5.230e-2
197.8,4.458e+1,,,,,,,,2.189e-11,,,3.523e-3,2.174e-10,,,,,9.392e-1,,4.348e+1,5.489e-4,6.158e-6,1.214e-2,,,,,1.419e-1
