Wavelength (nm),Sum(calc),H I (9.6e-2),He I (1.0e-4),He II (2.5e-10),N I (4.7e-1),N II (2.7e-2),N III (1.4e-10),O I (3.9e-1),O II (1.3e-2),O III (9.2e-13),Si I (1.1e-5),Si II (8.9e-5),Si III (7.3e-8),Ar I (9.5e-5),Ar II (4.7e-6),Ar III (4.7e-13),Mn I (3.3e-6),Mn II (9.6e-5),Fe I (4.4e-6),Fe II (9.5e-5),Fe III (2.2e-7),Cu I (8.6e-6),Cu II (9.1e-5),La I (6.8e-7),La II (8.3e-5),W I (4.7e-6),W II (9.5e-5),W III (2.7e-7)
193.8,1.121e-13,,,,,,,,,,,,,,,,,,,1.121e-13,1.924e-19,,,,,,,
194.0,1.292e-12,,,,,,,,,,,,7.554e-25,,,,,6.411e-15,,1.285e-12,5.329e-18,,,,,,,9.631e-16
194.2,1.368e-11,,,,,,,,,,,8.683e-18,8.306e-24,,,,,7.321e-14,,1.360e-11,6.072e-17,,,,,,,1.100e-14
194.4,1.337e-10,,,,,,,,,,,1.024e-16,8.430e-23,,,,,7.719e-13,,1.328e-10,6.187e-16,,,,,,,1.161e-13
194.6,1.206e-9,,,,,,,,,,,1.116e-15,7.901e-22,,,,,7.514e-12,,1.198e-9,5.783e-15,,,,,,,1.130e-12
194.8,1.005e-8,,,,,,,,,,,1.122e-14,6.836e-21,,,,,6.753e-11,,9.969e-9,4.996e-14,,,,,,,1.016e-11
195.0,7.726e-8,,,,,,,,,,,1.043e-13,5.460e-20,,,,,5.604e-10,,7.661e-8,3.993e-13,,1.140e-14,,,,,8.436e-11
195.3,1.418e-6,,,,,,,,,,,2.543e-12,1.061e-18,,,,,1.153e-8,,1.405e-6,7.794e-12,,5.231e-13,,,,,1.737e-9
195.5,8.930e-6,,,,,,,,2.061e-21,,,1.937e-11,6.941e-18,,,,,7.837e-8,,8.840e-6,5.129e-11,,5.482e-12,,,,,1.181e-8
195.7,5.192e-5,,,,,,,,2.433e-20,,,1.362e-10,4.192e-17,,,,,4.918e-7,,5.135e-5,3.124e-10,,5.318e-11,,,,,7.411e-8
