Wavelength (nm),Sum(calc),H I (9.6e-5),He I (3.0e-1),He II (7.6e-7),N I (9.5e-4),N II (5.3e-5),N III (2.7e-13),O I (6.6e-1),O II (2.2e-2),O III (1.6e-12),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-3),Ar II (4.7e-4),Ar III (4.7e-11),Mn I (4.5e-5),Mn II (1.3e-3),Fe I (4.4e-6),Fe II (9.5e-5),Fe III (2.2e-7),Cu I (1.7e-5),Cu II (1.8e-4),La I (1.4e-6),La II (1.7e-4),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
194.0,1.285e-12,,,,,,,,,,,,,,,,,,,1.285e-12,2.208e-18,,,,,,,
194.2,1.461e-11,,,,,,,,,,,,8.306e-25,,,,,1.010e-12,,1.360e-11,5.782e-17,,,,,,,1.100e-15
194.4,1.435e-10,,,,,,,,,,,1.024e-17,8.430e-24,,,,,1.065e-11,,1.328e-10,6.170e-16,,,,,,,1.161e-14
194.6,1.301e-9,,,,,,,,,,,1.116e-16,7.900e-23,,,,,1.037e-10,,1.198e-9,5.779e-15,,,,,,,1.130e-13
194.8,1.090e-8,,,,,,,,,,,1.122e-15,6.836e-22,,,,,9.320e-10,,9.969e-9,4.996e-14,,,,,,,1.016e-12
195.0,8.436e-8,,,,,,,,,,,1.043e-14,5.460e-21,,,,,7.733e-9,,7.661e-8,3.993e-13,,,,,,,8.436e-12
195.2,6.028e-7,,,,,,,,,,,8.946e-14,4.026e-20,,,,,5.924e-8,,5.435e-7,2.951e-12,,2.637e-13,,,,,6.465e-11
195.4,3.979e-6,,,,,,,,,,,7.088e-13,2.741e-19,,,,,4.190e-7,,3.559e-6,2.019e-11,,2.818e-12,,,,,4.574e-10
195.6,2.426e-5,,,,,,,,1.187e-20,,,5.186e-12,1.723e-18,,,,,2.736e-6,,2.152e-5,1.278e-10,,3.448e-11,,,,,2.988e-9
195.8,1.366e-4,,,,,,,,1.258e-19,,,3.504e-11,9.997e-18,,,,,1.650e-5,,1.201e-4,7.490e-10,,3.219e-10,,,,,1.802e-8
196.0,7.108e-4,,,,,,,,1.348e-18,,,2.187e-10,5.356e-17,,,,,9.183e-5,,6.188e-4,4.064e-9,,2.783e-9,,,,,1.003e-7
196.2,3.416e-3,,,,,,,,1.234e-17,,,1.260e-9,2.650e-16,,,,,4.719e-4,,2.943e-3,2.043e-8,,2.228e-8,,,,,5.158e-7
196.4,1.517e-2,,,,,,,,1.044e-16,,,6.708e-9,1.210e-15,,,,,2.239e-3,,1.292e-2,9.512e-8,6.303e-12,1.653e-7,,,,,2.448e-6
196.6,6.222e-2,,,,,,,,8.184e-16,,,3.297e-8,5.105e-15,,,,,9.810e-3,,5.239e-2,4.105e-7,6.309e-11,1.136e-6,,,,,1.073e-5
196.8,2.358e-1,,,,,,,,5.936e-15,,,1.497e-7,1.988e-14,,,,,3.967e-2,,1.961e-1,1.643e-6,5.841e-10,7.235e-6,,,,,4.339e-5
197.0,8.259e-1,,,,,,,,3.986e-14,,,6.278e-7,7.153e-14,,,,,1.481e-1,,6.775e-1,6.096e-6,5.002e-9,4.270e-5,,,,,1.621e-4
197.2,2.673e+0,,,,,,,,2.478e-13,,,2.432e-6,2.377e-13,,,,,5.107e-1,,2.161e+0,2.099e-5,3.961e-8,2.336e-4,,,,,5.589e-4
197.4,7.994e+0,,,,,,,,1.427e-12,,,8.705e-6,7.299e-13,,,,,1.626e+0,,6.366e+0,6.708e-5,2.901e-7,1.185e-3,,,,,1.779e-3
197.6,2.210e+1,,,,,,,,7.608e-12,,,2.880e-5,2.071e-12,,,,,4.777e+0,,1.731e+1,1.991e-4,1.966e-6,5.569e-3,,,,,5.230e-3
197.8,5.649e+1,,,,,,,,3.759e-11,,,8.807e-5,5.435e-12,,,,,1.296e+1,,4.348e+1,5.489e-4,1.232e-5,2.428e-2,,,,,1.419e-2
198.0,1.335e+2,,,,,,,,1.721e-10,,,2.492e-4,1.319e-11,,,,,3.247e+1,,1.009e+2,1.406e-3,7.137e-5,9.817e-2,,,,3.142e-13,3.555e-2
198.2,2.918e+2,,,,,,,,7.300e-10,2.406e-38,,6.527e-4,2.965e-11,,,,,7.509e+1,,2.162e+2,3.351e-3,3.825e-4,3.682e-1,,,,3.149e-12,8.223e-2
198.4,5.901e+2,,,,,3.145e-21,,,2.870e-9,2.313e-37,,1.585e-3,6.175e-11,,,,,1.603e+2,,4.283e+2,7.427e-3,1.896e-3,1.281e+0,,,,2.923e-11,1.756e-1
198.6,1.105e+3,,,,,3.124e-20,,,1.047e-8,2.060e-36,,3.575e-3,1.193e-10,,,,,3.161e+2,,7.846e+2,1.532e-2,8.693e-3,4.136e+0,,,,2.512e-10,3.462e-1
198.8,1.919e+3,,,,,2.876e-19,,,3.539e-8,1.699e-35,,7.512e-3,2.144e-10,,,,,5.752e+2,,1.330e+3,2.942e-2,3.686e-2,1.240e+1,,,,2.000e-9,6.302e-1
199.0,3.093e+3,,,,,2.451e-18,,,1.110e-7,1.298e-34,,1.476e-2,3.588e-10,,,,,9.666e+2,,2.090e+3,5.262e-2,1.446e-1,3.451e+1,,,,1.474e-8,1.059e+0
199.2,4.641e+3,,,,,1.936e-17,,,3.229e-7,9.181e-34,,2.725e-2,5.608e-10,,,,,1.500e+3,,3.050e+3,8.773e-2,5.243e-1,8.927e+1,,,,1.006e-7,1.643e+0
199.4,6.513e+3,,,,,1.416e-16,,,8.720e-7,6.015e-33,,4.762e-2,8.211e-10,,,,,2.148e+3,,4.146e+3,1.364e-1,1.759e+0,2.149e+2,,,,6.363e-7,2.354e+0
199.6,8.602e+3,,,,,9.595e-16,,,2.186e-6,3.650e-32,9.316e-14,7.934e-2,1.130e-9,,,,,2.841e+3,,5.271e+3,1.979e-1,5.458e+0,4.818e+2,,,,3.726e-6,3.113e+0
199.8,1.081e+4,,,,,6.023e-15,,,5.087e-6,2.052e-31,9.330e-13,1.270e-1,1.467e-9,,,,,3.468e+3,,6.311e+3,2.680e-1,1.566e+1,1.008e+3,,,,2.020e-5,3.801e+0
200.0,1.311e+4,,,,,3.502e-14,,,1.100e-5,1.068e-30,8.664e-12,1.964e-1,1.801e-9,,,,,3.910e+3,,7.179e+3,3.393e-1,4.157e+1,1.975e+3,,,,1.015e-4,4.286e+0
200.2,1.566e+4,,,,,1.886e-13,,,2.209e-5,5.149e-30,7.461e-11,2.942e-1,2.095e-9,,,,,4.071e+3,,7.851e+3,4.019e-1,1.020e+2,3.634e+3,,,,4.720e-4,4.463e+0
200.4,1.882e+4,,,,,9.410e-13,,,4.125e-5,2.299e-29,5.957e-10,4.261e-1,2.313e-9,,,,,3.917e+3,,8.363e+3,4.461e-1,2.317e+2,6.307e+3,,,,2.034e-3,4.294e+0
200.6,2.315e+4,,,,,4.349e-12,,,7.166e-5,9.511e-29,4.410e-9,5.935e-1,2.420e-9,,,,,3.493e+3,,8.790e+3,4.649e-1,4.864e+2,1.038e+4,,,,8.118e-3,3.823e+0
200.8,2.937e+4,,,,,1.862e-11,,,1.159e-4,3.644e-28,3.027e-8,7.895e-1,2.397e-9,,,,,2.922e+3,,9.193e+3,4.564e-1,9.447e+2,1.630e+4,,,,3.003e-2,3.160e+0
201.0,3.828e+4,,,,,7.383e-11,,,1.745e-4,1.294e-27,1.927e-7,9.954e-1,2.240e-9,,,,,2.393e+3,,9.588e+3,4.237e-1,1.697e+3,2.460e+4,,,,1.029e-1,2.446e+0
201.2,5.084e+4,,,,,2.712e-10,,,2.452e-4,4.253e-27,1.137e-6,1.182e+0,1.970e-9,,,,,2.179e+3,,9.933e+3,3.745e-1,2.819e+3,3.590e+4,,,,3.270e-1,1.814e+0
201.4,6.823e+4,,,,,9.228e-10,,,3.217e-4,1.296e-26,6.224e-6,1.314e+0,1.625e-9,,,,,2.715e+3,,1.015e+4,3.183e-1,4.331e+3,5.103e+4,,,,9.637e-1,1.355e+0
201.6,9.217e+4,,,,,2.909e-9,,,3.950e-4,3.658e-26,3.158e-5,1.363e+0,1.253e-9,,,,,4.747e+3,,1.014e+4,2.640e-1,6.155e+3,7.112e+4,,,,2.635e+0,1.108e+0
