Wavelength (nm),Sum(calc),H I (9.6e-2),He I (1.0e-5),He II (2.5e-11),N I (4.7e-1),N II (2.7e-2),N III (1.4e-10),O I (3.9e-1),O II (1.3e-2),O III (9.2e-13),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-6),Ar II (4.7e-7),Ar III (4.7e-14),Mn I (3.3e-7),Mn II (9.6e-6),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
194.1,4.221e-13,,,,,,,,,,,,2.530e-25,,,,,,,4.221e-13,1.666e-18,,,,,,,
194.3,4.319e-12,,,,,,,,,,,,2.673e-24,,,,,2.401e-14,,4.292e-12,1.945e-17,,,,,,,3.610e-15
194.5,4.056e-11,,,,,,,,,,,3.414e-17,2.607e-23,,,,,2.433e-13,,4.028e-11,1.907e-16,,,,,,,3.658e-14
194.7,3.516e-10,,,,,,,,,,,3.574e-16,2.347e-22,,,,,2.275e-12,,3.490e-10,1.716e-15,,,,,,,3.423e-13
194.9,2.814e-9,,,,,,,,,,,3.455e-15,1.951e-21,,,,,1.965e-11,,2.791e-9,1.426e-14,,,,,,,2.957e-12
195.1,2.079e-8,,,,,,,,,,,3.085e-14,1.498e-20,,,,,1.567e-10,,2.061e-8,1.096e-13,,,,,,,2.359e-11
195.3,1.418e-7,,,,,,,,,,,2.543e-13,1.061e-19,,,,,1.153e-9,,1.405e-7,7.794e-13,,4.353e-14,,,,,1.737e-10
195.5,8.930e-7,,,,,,,,,,,1.936e-12,6.941e-19,,,,,7.837e-9,,8.840e-7,5.129e-12,,5.482e-13,,,,,1.181e-9
195.7,5.192e-6,,,,,,,,2.272e-20,,,1.362e-11,4.192e-18,,,,,4.918e-8,,5.135e-6,3.124e-11,,5.318e-12,,,,,7.411e-9
195.9,2.786e-5,,,,,,,,2.315e-19,,,8.842e-11,2.337e-17,,,,,2.849e-7,,2.754e-5,1.762e-10,,4.778e-11,,,,,4.295e-8
196.1,1.381e-4,,,,,,,,2.398e-18,,,5.302e-10,1.203e-16,,,,,1.524e-6,,1.363e-4,9.199e-10,,3.975e-10,,,,,2.298e-7
196.3,6.317e-4,,,,,,,,2.110e-17,,,2.937e-9,5.719e-16,,,,,7.524e-6,,6.230e-4,4.450e-9,9.673e-14,3.064e-9,,,,,1.135e-6
196.5,2.668e-3,,,,,,,,1.719e-16,,,1.502e-8,2.510e-15,,,,,3.430e-5,,2.628e-3,1.995e-8,1.007e-12,2.188e-8,,,,,5.176e-6
196.7,1.040e-2,,,,,,,,1.296e-15,,,7.096e-8,1.018e-14,,,,,1.444e-4,,1.024e-2,8.289e-8,9.693e-12,1.447e-7,,,,,2.179e-5
196.9,3.746e-2,,,,,,,,9.042e-15,,,3.096e-7,3.809e-14,,,,,5.611e-4,,3.681e-2,3.194e-7,8.630e-11,8.872e-7,,,,,8.471e-5
197.1,1.245e-1,,,,,,,,5.842e-14,,,1.248e-6,1.317e-13,,,,,2.013e-3,,1.222e-1,1.142e-6,7.107e-10,5.041e-6,,,,,3.040e-4
197.3,3.823e-1,,,,,,,,3.495e-13,,,4.647e-6,4.207e-13,,,,,6.669e-3,,3.746e-1,3.787e-6,5.413e-9,2.655e-5,,,,,1.007e-3
197.5,1.084e+0,,,,,,,,1.937e-12,,,1.599e-5,1.242e-12,,,,,2.040e-2,,1.060e+0,1.166e-5,3.813e-8,1.296e-4,,,,,3.081e-3
197.7,2.838e+0,,,,,,,,9.941e-12,,,5.086e-5,3.388e-12,,,,,5.759e-2,,2.771e+0,3.336e-5,2.484e-7,5.869e-4,,,,,8.701e-3
197.9,6.865e+0,,,,,,,,4.727e-11,,,1.496e-4,8.550e-12,,,,,1.501e-1,,6.689e+0,8.867e-5,1.497e-6,2.464e-3,,,,,2.269e-2
198.1,1.534e+1,,,,,,,,2.083e-10,4.390e-39,,4.072e-4,1.997e-11,,,,,3.614e-1,,1.492e+1,2.191e-4,8.342e-6,9.595e-3,,,,1.004e-12,5.461e-2
198.3,3.169e+1,,,,,4.848e-19,,,8.508e-10,4.386e-38,,1.027e-3,4.319e-11,,,,,8.030e-1,,3.073e+1,5.034e-4,4.300e-5,3.466e-2,,,,9.686e-12,1.214e-1
198.5,6.055e+1,,,,,5.004e-18,,,3.222e-9,4.058e-37,,2.402e-3,8.664e-11,,,,,1.648e+0,,5.854e+1,1.076e-3,2.050e-4,1.162e-1,,,,8.651e-11,2.491e-1
198.7,1.071e+2,,,,,4.785e-17,,,1.131e-8,3.477e-36,,5.227e-3,1.614e-10,,,,,3.121e+0,,1.032e+2,2.142e-3,9.038e-4,3.613e-1,,,,7.156e-10,4.718e-1
198.9,1.757e+2,,,,,4.238e-16,,,3.683e-8,2.760e-35,,1.061e-2,2.798e-10,,,,,5.458e+0,,1.683e+2,3.969e-3,3.686e-3,1.044e+0,,,,5.483e-9,8.252e-1
199.2,3.221e+2,,,,,9.679e-15,,,1.880e-7,5.346e-34,,2.725e-2,5.608e-10,,,,,1.087e+1,,3.050e+2,8.773e-3,2.622e-2,4.464e+0,,,,1.006e-7,1.643e+0
199.4,4.434e+2,,,,,7.080e-14,,,5.077e-7,3.502e-33,,4.762e-2,8.211e-10,,,,,1.556e+1,,4.146e+2,1.364e-2,8.795e-2,1.074e+1,,,,6.363e-7,2.354e+0
199.6,5.753e+2,,,,,4.798e-13,,,1.273e-6,2.125e-32,9.316e-14,7.934e-2,1.130e-9,,,,,2.058e+1,,5.271e+2,1.979e-2,2.729e-1,2.409e+1,,,,3.726e-6,3.113e+0
199.8,7.114e+2,,,,,3.011e-12,,,2.962e-6,1.195e-31,9.330e-13,1.270e-1,1.467e-9,,,,,2.513e+1,,6.311e+2,2.680e-2,7.831e-1,5.042e+1,,,,2.020e-5,3.801e+0
200.0,8.516e+2,,,,,1.751e-11,,,6.403e-6,6.218e-31,8.664e-12,1.964e-1,1.801e-9,,,,,2.833e+1,,7.179e+2,3.393e-2,2.078e+0,9.877e+1,,,,1.015e-4,4.286e+0
200.2,1.006e+3,,,,,9.430e-11,,,1.286e-5,2.998e-30,7.461e-11,2.942e-1,2.095e-9,,,,,2.950e+1,,7.851e+2,4.019e-2,5.102e+0,1.817e+2,,,,4.720e-4,4.463e+0
200.4,1.196e+3,,,,,4.705e-10,,,2.402e-5,1.339e-29,5.957e-10,4.261e-1,2.313e-9,,,,,2.838e+1,,8.363e+2,4.461e-2,1.158e+1,3.153e+2,,,,2.034e-3,4.294e+0
200.6,1.452e+3,,,,,2.174e-9,,,4.172e-5,5.538e-29,4.410e-9,5.935e-1,2.420e-9,,,,,2.531e+1,,8.790e+2,4.649e-2,2.432e+1,5.190e+2,,,,8.118e-3,3.823e+0
200.8,1.807e+3,,,,,9.308e-9,,,6.746e-5,2.122e-28,3.027e-8,7.895e-1,2.397e-9,,,,,2.117e+1,,9.193e+2,4.564e-2,4.723e+1,8.152e+2,,,,3.003e-2,3.160e+0
201.0,2.295e+3,,,,,3.691e-8,,,1.016e-4,7.531e-28,1.927e-7,9.954e-1,2.240e-9,,,,,1.734e+1,,9.588e+2,4.237e-2,8.484e+1,1.230e+3,,,,1.029e-1,2.446e+0
201.2,2.949e+3,,,,,1.356e-7,,,1.428e-4,2.477e-27,1.137e-6,1.182e+0,1.970e-9,,,,,1.579e+1,,9.933e+2,3.745e-2,1.409e+2,1.795e+3,,,,3.270e-1,1.814e+0
201.4,3.806e+3,,,,,4.614e-7,,,1.873e-4,7.545e-27,6.224e-6,1.314e+0,1.625e-9,,,,,1.967e+1,,1.015e+3,3.183e-2,2.165e+2,2.552e+3,,,,9.637e-1,1.355e+0
201.6,4.918e+3,,,,,1.454e-6,,,2.300e-4,2.130e-26,3.158e-5,1.363e+0,1.253e-9,,,,,3.440e+1,,1.014e+3,2.640e-2,3.077e+2,3.556e+3,,,,2.635e+0,1.108e+0
