Wavelength (nm),Sum(calc),H I (9.6e-2),He I (7.0e-3),He II (1.8e-8),N I (1.9e-1),N II (1.1e-2),N III (5.5e-11),O I (6.4e-1),O II (2.1e-2),O III (1.5e-12),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (2.9e-2),Ar II (1.4e-3),Ar III (1.4e-10),Mn I (4.9e-5),Mn II (1.4e-3),Fe I (2.2e-5),Fe II (4.8e-4),Fe III (1.1e-6),Cu I (2.6e-5),Cu II (2.7e-4),La I (1.4e-6),La II (1.7e-4),W I (2.3e-5),W II (4.8e-4),W III (1.4e-6)
194.0,6.424e-12,,,,,,,,,,,,,,,,,,,6.424e-12,1.104e-17,,,,,,,
194.2,6.912e-11,,,,,,,,,,,,8.306e-25,,,,,1.091e-12,,6.798e-11,2.891e-16,,,,,,,5.502e-14
194.4,6.761e-10,,,,,,,,,,,1.024e-17,8.430e-24,,,,,1.150e-11,,6.640e-10,3.085e-15,,,,,,,5.803e-13
194.6,6.106e-9,,,,,,,,,,,1.116e-16,7.900e-23,,,,,1.120e-10,,5.988e-9,2.890e-14,,,,,,,5.651e-12
194.8,5.090e-8,,,,,,,,,,,1.122e-15,6.836e-22,,,,,1.006e-9,,4.985e-8,2.498e-13,,,,,,,5.081e-11
195.0,3.918e-7,,,,,,,,,,,1.043e-14,5.460e-21,,,,,8.350e-9,,3.831e-7,1.996e-12,,,,,,,4.218e-10
195.2,2.785e-6,,,,,,,,,,,8.946e-14,4.026e-20,,,,,6.397e-8,,2.718e-6,1.476e-11,,3.955e-13,,,,,3.232e-9
195.4,1.827e-5,,,,,,,,,,,7.088e-13,2.741e-19,,,,,4.524e-7,,1.780e-5,1.009e-10,,4.227e-12,,,,,2.287e-8
195.6,1.107e-4,,,,,,,,1.140e-20,,,5.186e-12,1.723e-18,,,,,2.954e-6,,1.076e-4,6.390e-10,,5.172e-11,,,,,1.494e-7
195.8,6.193e-4,,,,,,,,1.208e-19,,,3.504e-11,9.997e-18,,,,,1.781e-5,,6.005e-4,3.745e-9,,4.828e-10,,,,,9.010e-7
