Wavelength (nm),Sum(calc),H I (9.6e-3),He I (1.0e-2),He II (2.5e-8),N I (2.8e-2),N II (1.6e-3),N III (8.2e-12),O I (2.9e-2),O II (9.8e-4),O III (6.9e-14),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (8.8e-1),Ar II (4.3e-2),Ar III (4.3e-9),Mn I (1.1e-5),Mn II (3.4e-4),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
194.1,4.221e-13,,,,,,,,,,,,2.530e-25,,,,,,,4.221e-13,1.666e-18,,,,,,,
194.3,5.136e-12,,,,,,,,,,,,2.673e-24,,,,,8.404e-13,,4.292e-12,1.945e-17,,,,,,,3.610e-15
194.5,4.883e-11,,,,,,,,,,,3.414e-17,2.607e-23,,,,,8.514e-12,,4.028e-11,1.907e-16,,,,,,,3.658e-14
194.7,4.290e-10,,,,,,,,,,,3.574e-16,2.347e-22,,,,,7.963e-11,,3.490e-10,1.716e-15,,,,,,,3.423e-13
194.9,3.482e-9,,,,,,,,,,,3.455e-15,1.951e-21,,,,,6.877e-10,,2.791e-9,1.426e-14,,,,,,,2.957e-12
195.1,2.612e-8,,,,,,,,,,,3.085e-14,1.498e-20,,,,,5.483e-9,,2.061e-8,1.096e-13,,,,,,,2.359e-11
195.3,1.810e-7,,,,,,,,,,,2.543e-13,1.061e-19,,,,,4.036e-8,,1.405e-7,7.794e-13,,4.353e-14,,,,,1.737e-10
195.5,1.159e-6,,,,,,,,,,,1.936e-12,6.941e-19,,,,,2.743e-7,,8.840e-7,5.129e-12,,5.482e-13,,,,,1.181e-9
195.7,6.864e-6,,,,,,,,1.704e-21,,,1.362e-11,4.192e-18,,,,,1.721e-6,,5.135e-6,3.124e-11,,5.318e-12,,,,,7.411e-9
195.9,3.755e-5,,,,,,,,1.736e-20,,,8.842e-11,2.337e-17,,,,,9.971e-6,,2.754e-5,1.762e-10,,4.778e-11,,,,,4.295e-8
196.1,1.899e-4,,,,,,,,1.798e-19,,,5.302e-10,1.203e-16,,,,,5.333e-5,,1.363e-4,9.199e-10,,3.975e-10,,,,,2.298e-7
196.3,8.875e-4,,,,,,,,1.583e-18,,,2.937e-9,5.719e-16,,,,,2.633e-4,,6.230e-4,4.450e-9,9.673e-14,3.064e-9,,,,,1.135e-6
196.5,3.834e-3,,,,,,,,1.289e-17,,,1.502e-8,2.510e-15,,,,,1.201e-3,,2.628e-3,1.995e-8,1.007e-12,2.188e-8,,,,,5.176e-6
196.7,1.531e-2,,,,,,,,9.718e-17,,,7.096e-8,1.018e-14,,,,,5.054e-3,,1.024e-2,8.289e-8,9.693e-12,1.447e-7,,,,,2.179e-5
196.9,5.654e-2,,,,,,,,6.782e-16,,,3.096e-7,3.809e-14,,,,,1.964e-2,,3.681e-2,3.194e-7,8.630e-11,8.872e-7,,,,,8.471e-5
197.1,1.930e-1,,,,,,,,4.382e-15,,,1.248e-6,1.317e-13,,,,,7.046e-2,,1.222e-1,1.142e-6,7.107e-10,5.041e-6,,,,,3.040e-4
197.3,6.091e-1,,,,,,,,2.621e-14,,,4.647e-6,4.207e-13,,,,,2.334e-1,,3.746e-1,3.787e-6,5.413e-9,2.655e-5,,,,,1.007e-3
197.5,1.777e+0,,,,,,,,1.453e-13,,,1.599e-5,1.242e-12,,,,,7.139e-1,,1.060e+0,1.166e-5,3.813e-8,1.296e-4,,,,,3.081e-3
197.7,4.796e+0,,,,,,,,7.456e-13,,,5.086e-5,3.388e-12,,,,,2.016e+0,,2.771e+0,3.336e-5,2.484e-7,5.869e-4,,,,,8.701e-3
197.9,1.197e+1,,,,,,,,3.545e-12,,,1.496e-4,8.550e-12,,,,,5.255e+0,,6.689e+0,8.867e-5,1.497e-6,2.464e-3,,,,,2.269e-2
198.1,2.763e+1,,,,,,,,1.562e-11,3.292e-40,,4.072e-4,1.997e-11,,,,,1.265e+1,,1.492e+1,2.191e-4,8.342e-6,9.595e-3,,,,1.004e-12,5.461e-2
198.3,5.900e+1,,,,,2.909e-20,,,6.381e-11,3.289e-39,,1.027e-3,4.319e-11,,,,,2.811e+1,,3.073e+1,5.034e-4,4.300e-5,3.466e-2,,,,9.686e-12,1.214e-1
198.5,1.166e+2,,,,,3.002e-19,,,2.416e-10,3.043e-38,,2.402e-3,8.664e-11,,,,,5.766e+1,,5.854e+1,1.076e-3,2.050e-4,1.162e-1,,,,8.651e-11,2.491e-1
198.7,2.132e+2,,,,,2.871e-18,,,8.483e-10,2.608e-37,,5.227e-3,1.614e-10,,,,,1.092e+2,,1.032e+2,2.142e-3,9.038e-4,3.613e-1,,,,7.156e-10,4.718e-1
198.9,3.612e+2,,,,,2.543e-17,,,2.762e-9,2.070e-36,,1.061e-2,2.798e-10,,,,,1.910e+2,,1.683e+2,3.969e-3,3.686e-3,1.044e+0,,,,5.483e-9,8.252e-1
199.2,6.915e+2,,,,,5.807e-16,,,1.410e-8,4.009e-35,,2.725e-2,5.608e-10,,,,,3.803e+2,,3.050e+2,8.773e-3,2.622e-2,4.464e+0,,,,1.006e-7,1.643e+0
199.4,9.726e+2,,,,,4.248e-15,,,3.808e-8,2.627e-34,,4.762e-2,8.211e-10,,,,,5.448e+2,,4.146e+2,1.364e-2,8.795e-2,1.074e+1,,,,6.363e-7,2.354e+0
199.6,1.275e+3,,,,,2.879e-14,,,9.545e-8,1.594e-33,9.316e-14,7.934e-2,1.130e-9,,,,,7.204e+2,,5.271e+2,1.979e-2,2.729e-1,2.409e+1,,,,3.726e-6,3.113e+0
199.8,1.566e+3,,,,,1.807e-13,,,2.221e-7,8.959e-33,9.330e-13,1.270e-1,1.467e-9,,,,,8.796e+2,,6.311e+2,2.680e-2,7.831e-1,5.042e+1,,,,2.020e-5,3.801e+0
200.0,1.815e+3,,,,,1.051e-12,,,4.802e-7,4.664e-32,8.664e-12,1.964e-1,1.801e-9,,,,,9.916e+2,,7.179e+2,3.393e-2,2.078e+0,9.877e+1,,,,1.015e-4,4.286e+0
200.2,2.009e+3,,,,,5.658e-12,,,9.647e-7,2.248e-31,7.461e-11,2.942e-1,2.095e-9,,,,,1.032e+3,,7.851e+2,4.019e-2,5.102e+0,1.817e+2,,,,4.720e-4,4.463e+0
200.4,2.161e+3,,,,,2.823e-11,,,1.801e-6,1.004e-30,5.957e-10,4.261e-1,2.313e-9,,,,,9.933e+2,,8.363e+2,4.461e-2,1.158e+1,3.153e+2,,,,2.034e-3,4.294e+0
200.6,2.313e+3,,,,,1.305e-10,,,3.129e-6,4.153e-30,4.410e-9,5.935e-1,2.420e-9,,,,,8.860e+2,,8.790e+2,4.649e-2,2.432e+1,5.190e+2,,,,8.118e-3,3.823e+0
200.8,2.527e+3,,,,,5.585e-10,,,5.059e-6,1.591e-29,3.027e-8,7.895e-1,2.397e-9,,,,,7.411e+2,,9.193e+2,4.564e-2,4.723e+1,8.152e+2,,,,3.003e-2,3.160e+0
201.0,2.884e+3,,,,,2.215e-9,,,7.621e-6,5.649e-29,1.927e-7,9.954e-1,2.240e-9,,,,,6.068e+2,,9.588e+2,4.237e-2,8.484e+1,1.230e+3,,,,1.029e-1,2.446e+0
201.2,3.485e+3,,,,,8.136e-9,,,1.071e-5,1.857e-28,1.137e-6,1.182e+0,1.970e-9,,,,,5.526e+2,,9.933e+2,3.745e-2,1.409e+2,1.795e+3,,,,3.270e-1,1.814e+0
201.4,4.475e+3,,,,,2.768e-8,,,1.405e-5,5.659e-28,6.224e-6,1.314e+0,1.625e-9,,,,,6.886e+2,,1.015e+3,3.183e-2,2.165e+2,2.552e+3,,,,9.637e-1,1.355e+0
201.6,6.087e+3,,,,,8.726e-8,,,1.725e-5,1.598e-27,3.158e-5,1.363e+0,1.253e-9,,,,,1.204e+3,,1.014e+3,2.640e-2,3.077e+2,3.556e+3,,,,2.635e+0,1.108e+0
201.8,8.712e+3,,,,,2.548e-7,,,1.985e-5,4.180e-27,1.486e-4,1.317e+0,9.027e-10,,,,,2.420e+3,,9.883e+2,2.183e-2,4.044e+2,4.890e+3,,,,6.691e+0,1.068e+0
202.0,1.296e+4,,,,,6.891e-7,,,2.147e-5,1.014e-26,6.483e-4,1.181e+0,6.099e-10,,,,,4.838e+3,,9.391e+2,1.852e-2,4.916e+2,6.669e+3,,,,1.579e+1,1.199e+0
202.2,1.965e+4,,,,,1.726e-6,,,2.187e-5,2.281e-26,2.623e-3,9.822e-1,3.975e-10,,,,,9.137e+3,,8.766e+2,1.657e-2,5.527e+2,9.045e+3,,,,3.470e+1,1.441e+0
202.4,2.972e+4,,,,,4.006e-6,,,2.102e-5,4.760e-26,9.838e-3,7.573e-1,2.809e-10,,,,,1.608e+4,,8.151e+2,1.595e-2,5.747e+2,1.218e+4,,,,7.110e+1,1.728e+0
202.6,4.392e+4,,,,,8.613e-6,,,1.911e-5,9.223e-26,3.422e-2,5.409e-1,2.843e-10,,,,,2.626e+4,,7.689e+2,1.650e-2,5.527e+2,1.621e+4,,,,1.362e+2,1.993e+0
202.8,6.237e+4,,,,,1.715e-5,,,1.644e-5,1.660e-25,1.103e-1,3.577e-1,4.632e-10,,,,,3.978e+4,,7.482e+2,1.805e-2,4.916e+2,2.111e+4,,,,2.445e+2,2.182e+0
203.0,8.412e+4,,,,,3.164e-5,,,1.340e-5,2.779e-25,3.300e-1,2.190e-1,9.298e-10,,,,,5.589e+4,,7.558e+2,2.038e-2,4.044e+2,2.665e+4,,,,4.130e+2,2.263e+0
203.2,1.070e+5,,,,,5.406e-5,,,1.034e-5,4.331e-25,9.150e-1,1.242e-1,1.874e-9,,,,,7.283e+4,,7.862e+2,2.324e-2,3.077e+2,3.237e+4,,,,6.586e+2,2.236e+0
203.4,1.277e+5,,,,,8.557e-5,,,7.539e-6,6.296e-25,2.352e+0,6.555e-2,3.564e-9,,,,,8.804e+4,,8.282e+2,2.634e-2,2.165e+2,3.758e+4,,,,9.955e+2,2.130e+0
203.6,1.428e+5,,,,,1.255e-4,,,5.186e-6,8.554e-25,5.608e+0,3.309e-2,6.302e-9,,,,,9.872e+4,,8.686e+2,2.951e-2,1.409e+2,4.159e+4,,,,1.431e+3,1.993e+0
203.8,1.495e+5,,,,,1.704e-4,,,3.356e-6,1.089e-24,1.240e+1,1.879e-2,1.034e-8,,,,,1.027e+5,,8.960e+2,3.288e-2,8.484e+1,4.385e+4,,,,1.960e+3,1.875e+0
204.0,1.468e+5,,,,,2.144e-4,,,2.039e-6,1.301e-24,2.541e+1,1.934e-2,1.571e-8,,,,,9.912e+4,,9.035e+2,3.723e-2,4.723e+1,4.415e+4,,,,2.560e+3,1.804e+0
204.2,1.355e+5,,,,,2.499e-4,,,1.160e-6,1.465e-24,4.829e+1,3.990e-2,2.214e-8,,,,,8.876e+4,,8.905e+2,4.434e-2,2.432e+1,4.263e+4,,,,3.186e+3,1.779e+0
204.5,1.084e+5,,,,,2.724e-4,1.845e-34,,4.373e-7,1.575e-24,1.098e+2,1.630e-1,3.209e-8,,,,,6.539e+4,,8.420e+2,6.746e-2,7.763e+0,3.799e+4,,,,4.018e+3,1.763e+0
204.7,8.812e+4,,,,,2.624e-4,1.626e-33,,2.090e-7,1.546e-24,1.728e+2,4.057e-1,3.737e-8,,,,,4.859e+4,,7.996e+2,9.846e-2,3.288e+0,3.418e+4,,,,4.378e+3,1.706e+0
204.9,6.938e+4,,,,,2.347e-4,1.335e-32,,9.290e-8,1.445e-24,2.521e+2,9.585e-1,4.034e-8,,,,,3.352e+4,,7.556e+2,1.491e-1,1.288e+0,3.036e+4,,,,4.497e+3,1.580e+0
205.1,5.366e+4,,,,,1.957e-4,1.020e-31,,3.836e-8,1.289e-24,3.410e+2,2.135e+0,4.037e-8,,,,,2.149e+4,,7.133e+2,2.252e-1,4.668e-1,2.677e+4,,,,4.343e+3,1.385e+0
205.3,4.135e+4,,,,,1.547e-4,7.263e-31,,1.471e-8,1.104e-24,4.278e+2,4.463e+0,3.748e-8,,,,,1.285e+4,,6.742e+2,3.306e-1,1.564e-1,2.345e+4,,,,3.947e+3,1.147e+0
205.5,3.211e+4,,,,,1.215e-4,4.814e-30,,5.232e-9,9.151e-25,4.975e+2,8.734e+0,3.233e-8,,,,,7.282e+3,,6.394e+2,4.648e-1,4.849e-2,2.028e+4,,,,3.399e+3,9.117e-1
205.7,2.529e+4,,,,,1.061e-4,2.972e-29,,1.735e-9,7.446e-25,5.366e+2,1.596e+1,2.603e-8,,,,,4.142e+3,,6.101e+2,6.217e-1,1.390e-2,1.714e+4,,,,2.845e+3,7.335e-1
205.9,2.039e+4,,,,,1.188e-4,1.708e-28,,5.701e-10,6.063e-25,5.366e+2,2.719e+1,1.976e-8,,,,,2.786e+3,,5.867e+2,7.899e-1,3.686e-3,1.399e+4,,,,2.464e+3,6.682e-1
206.1,1.721e+4,,,,,1.710e-4,9.146e-28,,2.953e-10,5.037e-25,4.975e+2,4.311e+1,1.449e-8,,,,,2.731e+3,,5.679e+2,9.545e-1,9.038e-4,1.091e+4,,,,2.455e+3,7.715e-1
206.3,1.582e+4,,,,,2.752e-4,4.561e-27,,4.945e-10,4.312e-25,4.278e+2,6.361e+1,1.078e-8,,,,,3.693e+3,,5.504e+2,1.101e+0,2.050e-4,8.070e+3,,,,3.016e+3,1.098e+0
206.5,1.645e+4,,,,,4.423e-4,2.118e-26,,1.328e-9,3.777e-25,3.410e+2,8.724e+1,8.735e-9,,,,,5.531e+3,,5.299e+2,1.218e+0,4.300e-5,5.628e+3,,,,4.325e+3,1.692e+0
206.7,1.922e+4,,,,,6.774e-4,9.164e-26,,3.556e-9,3.317e-25,2.521e+2,1.112e+2,8.125e-9,,,,,8.155e+3,,5.029e+2,1.302e+0,8.342e-6,3.696e+3,,,,6.497e+3,2.577e+0
206.9,2.403e+4,,,,,9.742e-4,3.692e-25,,8.917e-9,2.850e-25,1.728e+2,1.317e+2,8.476e-9,,,,,1.144e+4,1.919e-14,4.687e+2,1.355e+0,1.497e-6,2.298e+3,,,,9.517e+3,3.733e+0
207.1,3.043e+4,,,,,1.312e-3,1.386e-24,,2.084e-8,2.349e-25,1.098e+2,1.449e+2,9.241e-9,,,,,1.518e+4,1.702e-13,4.306e+2,1.383e+0,2.484e-7,1.375e+3,,,,1.318e+4,5.087e+0
207.3,3.763e+4,,,,,1.659e-3,4.846e-24,,4.539e-8,1.831e-25,6.471e+1,1.480e+2,9.912e-9,,,,,1.910e+4,1.406e-12,3.942e+2,1.390e+0,3.813e-8,8.239e+2,,,,1.709e+4,6.517e+0
207.5,4.463e+4,,,,,1.978e-3,1.578e-23,,9.225e-8,1.339e-25,3.536e+1,1.404e+2,1.012e-8,,,,,2.289e+4,1.083e-11,3.658e+2,1.374e+0,5.413e-9,5.341e+2,,,,2.066e+4,7.889e+0
207.7,5.050e+4,,,,,2.249e-3,4.789e-23,,1.751e-7,9.138e-26,1.792e+1,1.237e+2,9.687e-9,,,,,2.627e+4,7.777e-11,3.493e+2,1.332e+0,7.107e-10,4.094e+2,,,,2.332e+4,9.106e+0
207.9,5.455e+4,,,,,2.472e-3,1.354e-22,,3.107e-7,5.806e-26,8.417e+0,1.012e+2,8.643e-9,,,,,2.904e+4,5.204e-10,3.455e+2,1.254e+0,8.630e-11,3.815e+2,,,,2.466e+4,1.014e+1
208.1,5.652e+4,,,,,2.681e-3,3.565e-22,,5.165e-7,3.429e-26,3.667e+0,7.691e+1,7.171e-9,,,,,3.110e+4,3.245e-9,3.508e+2,1.140e+0,9.693e-12,4.101e+2,,,,2.456e+4,1.106e+1
208.3,5.666e+4,,,,,2.932e-3,8.748e-22,,8.056e-7,1.881e-26,1.483e+0,5.426e+1,5.526e-9,,,,,3.245e+4,1.886e-8,3.592e+2,9.946e-1,1.007e-12,4.808e+2,,,,2.330e+4,1.195e+1
208.5,5.556e+4,,,,,3.277e-3,2.000e-21,,1.182e-6,9.574e-27,5.639e-1,3.554e+1,3.955e-9,,,,,3.317e+4,1.022e-7,3.640e+2,8.300e-1,9.609e-13,6.017e+2,,,,2.137e+4,1.287e+1
208.7,5.398e+4,,,,,3.738e-3,4.260e-21,,1.634e-6,4.524e-27,2.279e-1,2.161e+1,2.628e-9,,,,,3.341e+4,5.159e-7,3.594e+2,6.641e-1,9.149e-13,8.039e+2,,,,1.936e+4,1.376e+1
208.9,5.259e+4,,,,,4.286e-3,8.457e-21,,2.135e-6,1.983e-27,1.881e-1,1.221e+1,1.621e-9,,,,,3.335e+4,2.428e-6,3.427e+2,5.132e-1,8.689e-13,1.141e+3,,,,1.772e+4,1.446e+1
209.1,5.177e+4,,,,,4.835e-3,1.565e-20,,2.641e-6,8.069e-28,4.383e-1,6.400e+0,9.284e-10,,,,,3.312e+4,1.065e-5,3.149e+2,3.880e-1,8.230e-13,1.689e+3,,,,1.663e+4,1.474e+1
209.3,5.160e+4,,,,,5.265e-3,2.699e-20,,3.098e-6,3.046e-28,1.307e+0,3.116e+0,4.936e-10,,,,,3.277e+4,4.352e-5,2.806e+2,2.921e-1,7.770e-13,2.531e+3,,,,1.600e+4,1.440e+1
209.5,5.185e+4,,,,,5.455e-3,4.340e-20,,3.450e-6,1.067e-28,3.764e+0,1.409e+0,2.436e-10,,,,,3.225e+4,1.658e-4,2.466e+2,2.228e-1,7.310e-13,3.749e+3,,,,1.558e+4,1.338e+1
209.8,5.238e+4,,,,,5.148e-3,7.774e-20,,3.680e-6,1.921e-29,1.618e+1,3.725e-1,7.350e-11,,,,,3.100e+4,1.081e-3,2.106e+2,1.553e-1,6.621e-13,6.381e+3,,,,1.476e+4,1.087e+1
210.0,5.256e+4,,,,,4.567e-3,1.053e-19,,3.596e-6,5.579e-30,3.917e+1,1.399e-1,3.013e-11,,,,,2.982e+4,3.453e-3,2.034e+2,1.251e-1,6.161e-13,8.650e+3,,,,1.384e+4,8.965e+0
210.2,5.268e+4,,,,,3.785e-3,1.333e-19,,3.330e-6,1.503e-30,8.834e+1,4.877e-2,1.147e-11,,,,,2.854e+4,1.028e-2,2.102e+2,1.014e-1,5.475e-12,1.122e+4,,,,1.261e+4,7.251e+0
210.4,5.298e+4,,,,,2.928e-3,1.581e-19,,2.921e-6,3.757e-31,1.856e+2,1.579e-2,4.051e-12,,,,,2.742e+4,2.853e-2,2.276e+2,8.169e-2,4.544e-11,1.396e+4,,,,1.118e+4,5.958e+0
210.6,5.377e+4,,,,,2.114e-3,1.763e-19,,2.437e-6,8.717e-32,3.632e+2,4.745e-3,1.329e-12,,,,,2.675e+4,7.381e-2,2.497e+2,6.482e-2,3.522e-10,1.669e+4,,,,9.720e+3,5.168e+0
210.8,5.528e+4,,,,,1.428e-3,1.856e-19,,1.964e-6,1.890e-32,6.622e+2,1.324e-3,4.046e-13,,,,,2.667e+4,1.779e-1,2.694e+2,5.053e-2,2.550e-9,1.929e+4,,,,8.380e+3,4.818e+0
211.0,5.756e+4,,,,,9.106e-4,1.853e-19,,1.601e-6,4.747e-33,1.125e+3,3.431e-4,1.144e-13,,,,,2.712e+4,3.998e-1,2.808e+2,3.874e-2,1.725e-8,2.176e+4,,,,7.273e+3,4.742e+0
211.2,6.048e+4,,,,,5.648e-4,1.770e-19,,1.454e-6,7.025e-33,1.780e+3,8.254e-5,3.002e-14,,,,,2.778e+4,8.374e-1,2.805e+2,2.933e-2,1.089e-7,2.419e+4,,,,6.443e+3,4.737e+0
211.4,6.384e+4,,,,,3.691e-4,1.631e-19,,1.637e-6,3.745e-32,2.623e+3,1.843e-5,7.314e-15,,,,,2.823e+4,1.634e+0,2.682e+2,2.202e-2,6.427e-7,2.684e+4,,,,5.864e+3,4.631e+0
