Wavelength (nm),Sum(calc),H I (1.9e-5),He I (2.0e-5),He II (5.1e-11),N I (1.9e-5),N II (1.1e-6),N III (5.5e-15),O I (1.9e-5),O II (6.5e-7),O III (4.6e-17),Si I (2.2e-6),Si II (1.8e-5),Si III (1.5e-8),Ar I (9.5e-1),Ar II (4.7e-2),Ar III (4.7e-9),Mn I (6.5e-7),Mn II (1.9e-5),Fe I (8.8e-7),Fe II (1.9e-5),Fe III (4.3e-8),Cu I (1.7e-6),Cu II (1.8e-5),La I (1.4e-7),La II (1.7e-5),W I (9.3e-7),W II (1.9e-5),W III (5.4e-8)
194.1,8.443e-13,,,,,,,,,,,,5.060e-25,,,,,,,8.443e-13,3.333e-18,,,,,,,
194.3,8.639e-12,,,,,,,,,,,,5.345e-24,,,,,4.802e-14,,8.583e-12,3.890e-17,,,,,,,7.219e-15
194.5,8.112e-11,,,,,,,,,,,6.828e-17,5.213e-23,,,,,4.865e-13,,8.056e-11,3.814e-16,,,,,,,7.317e-14
194.7,7.032e-10,,,,,,,,,,,7.148e-16,4.694e-22,,,,,4.551e-12,,6.980e-10,3.430e-15,,,,,,,6.846e-13
194.9,5.628e-9,,,,,,,,,,,6.911e-15,3.903e-21,,,,,3.930e-11,,5.583e-9,2.852e-14,,,,,,,5.915e-12
195.1,4.158e-8,,,,,,,,,,,6.169e-14,2.995e-20,,,,,3.133e-10,,4.122e-8,2.192e-13,,,,,,,4.717e-11
195.3,2.836e-7,,,,,,,,,,,5.086e-13,2.122e-19,,,,,2.306e-9,,2.810e-7,1.559e-12,,8.706e-14,,,,,3.474e-10
195.6,4.350e-6,,,,,,,,3.455e-25,,,1.037e-11,3.446e-18,,,,,3.966e-8,,4.304e-6,2.556e-11,,3.448e-12,,,,,5.976e-9
195.8,2.430e-5,,,,,,,,3.662e-24,,,7.009e-11,1.999e-17,,,,,2.391e-7,,2.402e-5,1.498e-10,,3.219e-11,,,,,3.604e-8
196.0,1.253e-4,,,,,,,,3.887e-23,,,4.374e-10,1.071e-16,,,,,1.331e-6,,1.238e-4,8.128e-10,,2.783e-10,,,,,2.007e-7
196.2,5.966e-4,,,,,,,,3.591e-22,,,2.521e-9,5.299e-16,,,,,6.840e-6,,5.887e-4,4.085e-9,,2.228e-9,,,,,1.032e-6
196.4,2.622e-3,,,,,,,,3.040e-21,,,1.342e-8,2.421e-15,,,,,3.245e-5,,2.585e-3,1.902e-8,6.303e-13,1.653e-8,,,,,4.896e-6
196.6,1.064e-2,,,,,,,,2.382e-20,,,6.594e-8,1.021e-14,,,,,1.422e-4,,1.048e-2,8.210e-8,6.309e-12,1.136e-7,,,,,2.145e-5
196.8,3.988e-2,,,,,,,,1.728e-19,,,2.994e-7,3.977e-14,,,,,5.750e-4,,3.922e-2,3.285e-7,5.841e-11,7.235e-7,,,,,8.679e-5
197.0,1.380e-1,,,,,,,,1.160e-18,,,1.256e-6,1.431e-13,,,,,2.147e-3,,1.355e-1,1.219e-6,5.002e-10,4.270e-6,,,,,3.241e-4
197.2,4.408e-1,,,,,,,,7.214e-18,,,4.864e-6,4.754e-13,,,,,7.402e-3,,4.323e-1,4.198e-6,3.961e-9,2.336e-5,,,,,1.118e-3
197.4,1.300e+0,,,,,,,,4.153e-17,,,1.741e-5,1.460e-12,,,,,2.356e-2,,1.273e+0,1.342e-5,2.901e-8,1.185e-4,,,,,3.558e-3
197.6,3.543e+0,,,,,,,,2.215e-16,,,5.759e-5,4.143e-12,,,,,6.924e-2,,3.463e+0,3.982e-5,1.966e-7,5.569e-4,,,,,1.046e-2
197.8,8.916e+0,,,,,,,,1.094e-15,,,1.761e-4,1.087e-11,,,,,1.878e-1,,8.697e+0,1.098e-4,1.232e-6,2.428e-3,,,,,2.838e-2
198.0,2.073e+1,,,,,,,,5.009e-15,,,4.983e-4,2.639e-11,,,,,4.705e-1,,2.018e+1,2.813e-4,7.137e-6,9.817e-3,,,,6.284e-13,7.111e-2
198.2,4.453e+1,,,,,,,,2.125e-14,7.004e-43,,1.305e-3,5.930e-11,,,,,1.088e+0,,4.324e+1,6.702e-4,3.825e-5,3.682e-2,,,,6.298e-12,1.645e-1
198.4,8.847e+1,,,,,6.290e-23,,,8.357e-14,6.734e-42,,3.170e-3,1.235e-10,,,,,2.324e+0,,8.566e+1,1.485e-3,1.896e-4,1.281e-1,,,,5.846e-11,3.512e-1
198.6,1.626e+2,,,,,6.249e-22,,,3.047e-13,5.997e-41,,7.151e-3,2.387e-10,,,,,4.580e+0,,1.569e+2,3.064e-3,8.693e-4,4.136e-1,,,,5.024e-10,6.925e-1
198.8,2.769e+2,,,,,5.751e-21,,,1.030e-12,4.946e-40,,1.502e-2,4.288e-10,,,,,8.337e+0,,2.661e+2,5.883e-3,3.686e-3,1.240e+0,,,,4.000e-9,1.260e+0
199.0,4.377e+2,,,,,4.903e-20,,,3.231e-12,3.778e-39,,2.951e-2,7.176e-10,,,,,1.401e+1,,4.181e+2,1.052e-2,1.446e-2,3.451e+0,,,,2.949e-8,2.118e+0
199.2,6.441e+2,,,,,3.872e-19,,,9.401e-12,2.673e-38,,5.450e-2,1.122e-9,,,,,2.173e+1,,6.101e+2,1.755e-2,5.243e-2,8.927e+0,,,,2.013e-7,3.286e+0
199.4,8.867e+2,,,,,2.832e-18,,,2.539e-11,1.751e-37,,9.523e-2,1.642e-9,,,,,3.113e+1,,8.291e+2,2.728e-2,1.759e-1,2.149e+1,,,,1.273e-6,4.708e+0
199.6,1.151e+3,,,,,1.919e-17,,,6.363e-11,1.063e-36,1.863e-13,1.587e-1,2.260e-9,,,,,4.117e+1,,1.054e+3,3.957e-2,5.458e-1,4.818e+1,,,,7.451e-6,6.226e+0
199.8,1.423e+3,,,,,1.205e-16,,,1.481e-10,5.973e-36,1.866e-12,2.540e-1,2.933e-9,,,,,5.026e+1,,1.262e+3,5.360e-2,1.566e+0,1.008e+2,,,,4.040e-5,7.603e+0
200.1,1.852e+3,,,,,1.641e-15,,,4.579e-10,6.892e-35,5.133e-11,4.827e-1,3.910e-9,,,,,5.839e+1,,1.508e+3,7.446e-2,6.576e+0,2.700e+2,,,,4.419e-4,8.834e+0
200.3,2.190e+3,,,,,8.507e-15,,,8.869e-10,3.198e-34,4.256e-10,7.113e-1,4.431e-9,,,,,5.843e+1,,1.625e+3,8.536e-2,1.553e+1,4.821e+2,,,,1.978e-3,8.842e+0
200.5,2.628e+3,,,,,4.085e-14,,,1.597e-9,1.375e-33,3.272e-9,1.011e+0,4.763e-9,,,,,5.410e+1,,1.717e+3,9.178e-2,3.390e+1,8.142e+2,,,,8.205e-3,8.181e+0
200.7,3.230e+3,,,,,1.817e-13,,,2.676e-9,5.472e-33,2.333e-8,1.378e+0,4.851e-9,,,,,4.661e+1,,1.798e+3,9.280e-2,6.845e+1,1.308e+3,,,,3.153e-2,7.013e+0
200.9,4.064e+3,,,,,7.486e-13,,,4.176e-9,2.018e-32,1.542e-7,1.786e+0,4.669e-9,,,,,3.822e+1,,1.879e+3,8.853e-2,1.278e+2,2.012e+3,,,,1.122e-1,5.601e+0
201.1,5.197e+3,,,,,2.857e-12,,,6.074e-9,6.894e-32,9.451e-7,2.186e+0,4.235e-9,,,,,3.223e+1,,1.954e+3,8.012e-2,2.208e+2,2.983e+3,,,,3.704e-1,4.227e+0
201.3,6.698e+3,,,,,1.010e-11,,,8.246e-9,2.182e-31,5.371e-6,2.513e+0,3.608e-9,,,,,3.357e+1,,2.012e+3,6.933e-2,3.528e+2,4.293e+3,,,,1.133e+0,3.118e+0
201.5,8.652e+3,,,,,3.308e-11,,,1.046e-8,6.399e-31,2.831e-5,2.701e+0,2.878e-9,,,,,5.043e+1,,2.035e+3,5.808e-2,5.214e+2,6.037e+3,,,,3.217e+0,2.408e+0
201.7,1.118e+4,,,,,1.004e-10,,,1.244e-8,1.739e-30,1.383e-4,2.704e+0,2.145e-9,,,,,9.701e+1,,2.009e+3,4.795e-2,7.125e+2,8.351e+3,,,,8.475e+0,2.128e+0
201.9,1.449e+4,,,,,2.820e-10,,,1.387e-8,4.381e-30,6.267e-4,2.517e+0,1.495e-9,,,,,1.966e+2,,1.932e+3,4.002e-2,9.006e+2,1.143e+4,,,,2.075e+1,2.232e+0
202.1,1.885e+4,,,,,7.341e-10,,,1.455e-8,1.023e-29,2.633e-3,2.174e+0,9.853e-10,,,,,3.831e+2,,1.817e+3,3.475e-2,1.053e+3,1.554e+4,,,,4.723e+1,2.620e+0
202.3,2.465e+4,,,,,1.770e-9,,,1.439e-8,2.217e-29,1.026e-2,1.742e+0,6.522e-10,,,,,6.989e+2,,1.690e+3,3.221e-2,1.138e+3,2.102e+4,,,,1.002e+2,3.167e+0
202.5,3.227e+4,,,,,3.954e-9,,,1.345e-8,4.458e-29,3.704e-2,1.292e+0,5.304e-10,,,,,1.185e+3,,1.579e+3,3.217e-2,1.138e+3,2.816e+4,,,,1.984e+2,3.734e+0
202.7,4.191e+4,,,,,8.181e-9,,,1.190e-8,8.325e-29,1.241e-1,8.883e-1,6.929e-10,,,,,1.864e+3,,1.510e+3,3.432e-2,1.053e+3,3.711e+4,,,,3.678e+2,4.199e+0
202.9,5.341e+4,,,,,1.568e-8,,,9.963e-9,1.445e-28,3.853e-1,5.653e-1,1.301e-9,,,,,2.720e+3,,1.497e+3,3.827e-2,9.006e+2,4.765e+4,,,,6.402e+2,4.473e+0
203.1,6.605e+4,,,,,2.784e-8,,,7.901e-9,2.333e-28,1.109e+0,3.331e-1,2.654e-9,,,,,3.680e+3,,1.537e+3,4.352e-2,7.125e+2,5.906e+4,,,,1.050e+3,4.523e+0
203.3,7.856e+4,,,,,4.578e-8,,,5.928e-9,3.511e-28,2.962e+0,1.820e-1,5.213e-9,,,,,4.619e+3,,1.613e+3,4.954e-2,5.214e+2,7.017e+4,,,,1.630e+3,4.379e+0
203.5,8.940e+4,,,,,6.974e-8,,,4.199e-9,4.933e-28,7.333e+0,9.325e-2,9.567e-9,,,,,5.377e+3,,1.699e+3,5.583e-2,3.528e+2,7.956e+4,,,,2.401e+3,4.124e+0
203.7,9.711e+4,,,,,9.841e-8,,,2.803e-9,6.485e-28,1.683e+1,4.805e-2,1.630e-8,,,,,5.808e+3,,1.769e+3,6.228e-2,2.208e+2,8.593e+4,,,,3.369e+3,3.859e+0
203.9,1.008e+5,,,,,1.286e-7,,,1.758e-9,7.995e-28,3.583e+1,3.429e-2,2.573e-8,,,,,5.819e+3,,1.805e+3,6.970e-2,1.278e+2,8.849e+4,,,,4.506e+3,3.666e+0
204.1,1.003e+5,,,,,1.558e-7,,,1.034e-9,9.271e-28,7.072e+1,5.260e-2,3.766e-8,,,,,5.410e+3,,1.799e+3,8.056e-2,6.845e+1,8.719e+4,,,,5.746e+3,3.574e+0
204.3,9.621e+4,,,,,1.747e-7,1.077e-38,,5.683e-10,1.014e-27,1.294e+2,1.267e-1,5.107e-8,,,,,4.667e+3,,1.755e+3,9.970e-2,3.390e+1,8.265e+4,,,,6.975e+3,3.552e+0
204.6,8.585e+4,,,,,1.799e-7,3.685e-37,,2.034e-10,1.047e-27,2.781e+2,5.174e-1,6.992e-8,,,,,3.251e+3,,1.643e+3,1.618e-1,1.020e+1,7.222e+4,,,,8.448e+3,3.484e+0
204.8,7.774e+4,,,,,1.670e-7,3.134e-36,,9.375e-11,1.003e-27,4.214e+2,1.256e+0,7.840e-8,,,,,2.327e+3,,1.555e+3,2.418e-1,4.157e+0,6.449e+4,,,,8.941e+3,3.305e+0
205.0,6.958e+4,,,,,1.440e-7,2.483e-35,,4.017e-11,9.150e-28,5.920e+2,2.883e+0,8.148e-8,,,,,1.547e+3,,1.468e+3,3.673e-1,1.566e+0,5.705e+4,,,,8.907e+3,2.980e+0
205.2,6.163e+4,,,,,1.166e-7,1.831e-34,,1.598e-11,7.991e-28,7.711e+2,6.223e+0,7.852e-8,,,,,9.573e+2,,1.386e+3,5.484e-1,5.458e-1,5.016e+4,,,,8.342e+3,2.537e+0
205.4,5.389e+4,,,,,9.101e-8,1.258e-33,,5.902e-12,6.723e-28,9.314e+2,1.259e+1,7.025e-8,,,,,5.554e+2,,1.312e+3,7.887e-1,1.759e-1,4.371e+4,,,,7.368e+3,2.051e+0
205.6,4.627e+4,,,,,7.396e-8,8.045e-33,,2.024e-12,5.510e-28,1.043e+3,2.382e+1,5.849e-8,,,,,3.115e+2,,1.248e+3,1.082e+0,5.243e-2,3.742e+4,,,,6.224e+3,1.624e+0
205.8,3.888e+4,,,,,7.215e-8,4.792e-32,,6.565e-13,4.473e-28,1.083e+3,4.203e+1,4.564e-8,,,,,1.872e+2,,1.195e+3,1.410e+0,1.446e-2,3.112e+4,,,,5.241e+3,1.366e+0
206.0,3.209e+4,,,,,9.279e-8,2.659e-31,,2.423e-13,3.671e-28,1.043e+3,6.909e+1,3.390e-8,,,,,1.496e+2,,1.154e+3,1.747e+0,3.686e-3,2.487e+4,,,,4.801e+3,1.391e+0
206.2,2.654e+4,,,,,1.439e-7,1.374e-30,,2.250e-13,3.095e-28,9.314e+2,1.057e+2,2.484e-8,,,,,1.769e+2,,1.118e+3,2.061e+0,8.693e-4,1.890e+4,,,,5.304e+3,1.807e+0
206.4,2.298e+4,,,,,2.336e-7,6.611e-30,,5.343e-13,2.685e-28,7.711e+2,1.504e+2,1.911e-8,,,,,2.576e+2,,1.082e+3,2.327e+0,1.896e-4,1.358e+4,,,,7.136e+3,2.718e+0
206.6,2.201e+4,,,,,3.676e-7,2.963e-29,,1.459e-12,2.362e-28,5.920e+2,1.988e+2,1.655e-8,,,,,3.858e+2,,1.035e+3,2.528e+0,3.825e-5,9.189e+3,,,,1.060e+4,4.196e+0
206.8,2.389e+4,,,,,5.460e-7,1.237e-28,,3.787e-12,2.058e-28,4.214e+2,2.443e+2,1.643e-8,,,,,5.557e+2,1.255e-14,9.732e+2,2.664e+0,7.137e-6,5.865e+3,,,,1.582e+4,6.249e+0
207.0,2.837e+4,,,,,7.599e-7,4.812e-28,,9.168e-12,1.735e-28,2.781e+2,2.788e+2,1.768e-8,,,,,7.582e+2,1.153e-13,8.997e+2,2.744e+0,1.232e-6,3.565e+3,,,,2.258e+4,8.784e+0
207.2,3.468e+4,,,,,9.911e-7,1.743e-27,,2.068e-11,1.393e-28,1.702e+2,2.956e+2,1.923e-8,,,,,9.793e+2,9.870e-13,8.235e+2,2.778e+0,1.966e-7,2.120e+3,,,,3.028e+4,1.160e+1
207.4,4.158e+4,,,,,1.216e-6,5.882e-27,,4.351e-11,1.053e-28,9.658e+1,2.910e+2,2.018e-8,,,,,1.202e+3,7.875e-12,7.573e+2,2.770e+0,2.901e-8,1.306e+3,,,,3.791e+4,1.444e+1
207.6,4.764e+4,,,,,1.414e-6,1.849e-26,,8.544e-11,7.439e-29,5.082e+1,2.661e+2,1.997e-8,,,,,1.408e+3,5.856e-11,7.118e+2,2.714e+0,3.961e-9,9.122e+2,,,,4.427e+4,1.704e+1
207.8,5.166e+4,,,,,1.576e-6,5.416e-26,,1.568e-10,4.900e-29,2.479e+1,2.259e+2,1.847e-8,,,,,1.585e+3,4.059e-10,6.919e+2,2.595e+0,5.002e-10,7.730e+2,,,,4.834e+4,1.929e+1
208.0,5.297e+4,,,,,1.717e-6,1.478e-25,,2.692e-10,3.002e-29,1.122e+1,1.781e+2,1.589e-8,,,,,1.724e+3,2.622e-9,6.946e+2,2.404e+0,5.841e-11,7.804e+2,,,,4.956e+4,2.122e+1
208.2,5.167e+4,,,,,1.865e-6,3.756e-25,,4.334e-10,1.709e-29,4.707e+0,1.304e+2,1.271e-8,,,,,1.821e+3,1.579e-8,7.101e+2,2.142e+0,6.309e-12,8.804e+2,,,,4.810e+4,2.300e+1
208.4,4.854e+4,,,,,2.060e-6,8.896e-25,,6.554e-10,9.029e-30,1.839e+0,8.864e+1,9.437e-9,,,,,1.879e+3,8.858e-8,7.250e+2,1.827e+0,6.035e-12,1.067e+3,,,,4.476e+4,2.481e+1
208.6,4.478e+4,,,,,2.329e-6,1.963e-24,,9.332e-10,4.429e-30,6.963e-1,5.595e+1,6.508e-9,,,,,1.905e+3,4.633e-7,7.262e+2,1.492e+0,5.761e-12,1.380e+3,,,,4.068e+4,2.665e+1
208.8,4.154e+4,,,,,2.670e-6,4.037e-24,,1.254e-9,2.016e-30,3.553e-1,3.279e+1,4.166e-9,,,,,1.909e+3,2.258e-6,7.051e+2,1.172e+0,5.487e-12,1.903e+3,,,,3.696e+4,2.830e+1
209.1,3.920e+4,,,,,3.224e-6,1.043e-23,,1.761e-9,5.380e-31,8.766e-1,1.280e+1,1.857e-9,,,,,1.893e+3,2.130e-5,6.298e+2,7.760e-1,5.075e-12,3.377e+3,,,,3.326e+4,2.948e+1
209.3,3.954e+4,,,,,3.510e-6,1.799e-23,,2.065e-9,2.031e-31,2.614e+0,6.232e+0,9.872e-10,,,,,1.872e+3,8.705e-5,5.613e+2,5.842e-1,4.801e-12,5.062e+3,,,,3.200e+4,2.880e+1
209.5,4.104e+4,,,,,3.637e-6,2.894e-23,,2.300e-9,7.112e-32,7.528e+0,2.817e+0,4.873e-10,,,,,1.843e+3,3.316e-4,4.931e+2,4.456e-1,4.527e-12,7.499e+3,,,,3.117e+4,2.676e+1
209.7,4.327e+4,,,,,3.555e-6,4.342e-23,,2.433e-9,2.311e-32,2.026e+1,1.182e+0,2.233e-10,,,,,1.799e+3,1.178e-3,4.393e+2,3.481e-1,4.253e-12,1.079e+4,,,,3.020e+4,2.358e+1
209.9,4.585e+4,,,,,3.260e-6,6.082e-23,,2.441e-9,6.967e-33,5.081e+1,4.608e-1,9.500e-11,,,,,1.739e+3,3.897e-3,4.103e+2,2.783e-1,3.979e-12,1.494e+4,,,,2.869e+4,1.982e+1
210.1,4.854e+4,,,,,2.796e-6,7.961e-23,,2.323e-9,1.949e-33,1.187e+2,1.667e-1,3.752e-11,,,,,1.667e+3,1.202e-2,4.103e+2,2.254e-1,3.705e-12,1.982e+4,,,,2.652e+4,1.613e+1
210.3,5.129e+4,,,,,2.239e-6,9.756e-23,,2.093e-9,5.057e-34,2.584e+2,5.601e-2,1.376e-11,,,,,1.596e+3,3.456e-2,4.358e+2,1.823e-1,3.181e-11,2.516e+4,,,,2.382e+4,1.309e+1
210.5,5.411e+4,,,,,1.673e-6,1.122e-22,,1.789e-9,1.218e-34,5.239e+2,1.747e-2,4.683e-12,,,,,1.544e+3,9.260e-2,4.770e+2,1.458e-1,2.552e-10,3.066e+4,,,,2.089e+4,1.100e+1
210.7,5.711e+4,,,,,1.168e-6,1.214e-22,,1.462e-9,2.724e-35,9.896e+2,5.060e-3,1.480e-12,,,,,1.522e+3,2.312e-1,5.205e+2,1.147e-1,1.912e-9,3.602e+4,,,,1.805e+4,9.894e+0
210.9,6.050e+4,,,,,7.649e-7,1.244e-22,,1.175e-9,5.898e-36,1.741e+3,1.361e-3,4.343e-13,,,,,1.534e+3,5.382e-1,5.529e+2,8.866e-2,1.338e-8,4.108e+4,,,,1.559e+4,9.517e+0
211.1,6.458e+4,,,,,4.782e-7,1.214e-22,,9.959e-10,2.779e-36,2.855e+3,3.397e-4,1.183e-13,,,,,1.568e+3,1.168e+0,5.645e+2,6.751e-2,8.743e-8,4.593e+4,,,,1.365e+4,9.486e+0
211.3,6.972e+4,,,,,3.000e-7,1.137e-22,,9.981e-10,1.053e-35,4.360e+3,7.874e-5,2.991e-14,,,,,1.603e+3,2.360e+0,5.515e+2,5.086e-2,5.337e-7,5.094e+4,,,,1.225e+4,9.410e+0
211.5,7.634e+4,,,,,2.121e-7,1.033e-22,,1.259e-9,5.894e-35,6.203e+3,1.695e-5,7.022e-15,,,,,1.614e+3,4.448e+0,5.165e+2,3.811e-2,3.043e-6,5.671e+4,,,,1.129e+4,9.011e+0
211.7,8.480e+4,,,,,1.937e-7,9.172e-23,,1.855e-9,3.136e-34,8.222e+3,3.386e-6,1.531e-15,,,,,1.581e+3,7.812e+0,4.669e+2,2.855e-2,1.621e-5,6.396e+4,,,,1.056e+4,8.182e+0
211.9,9.534e+4,,,,,2.259e-7,8.010e-23,,2.846e-9,1.559e-33,1.015e+4,6.282e-7,3.105e-16,,,,,1.498e+3,1.279e+1,4.122e+2,2.153e-2,8.061e-5,7.343e+4,,,,9.832e+3,6.978e+0
212.1,1.081e+5,,,,,2.919e-7,6.905e-23,,4.247e-9,7.240e-33,1.168e+4,1.082e-7,6.313e-17,,,,,1.373e+3,1.951e+1,3.616e+2,1.648e-2,3.745e-4,8.574e+4,,,,8.951e+3,5.563e+0
212.3,1.232e+5,,,,,3.755e-7,5.898e-23,,5.996e-9,3.140e-32,1.251e+4,1.731e-8,3.612e-17,,,,,1.223e+3,2.774e+1,3.213e+2,1.299e-2,1.625e-3,1.012e+5,,,,7.839e+3,4.138e+0
212.5,1.403e+5,,,,,4.597e-7,5.051e-23,,7.927e-9,1.272e-31,1.249e+4,2.570e-9,1.290e-16,,,,,1.069e+3,3.676e+1,2.939e+2,1.079e-2,6.586e-3,1.198e+5,,,,6.530e+3,2.868e+0
212.7,1.587e+5,,,,,5.279e-7,4.486e-23,,9.783e-9,4.814e-31,1.162e+4,3.542e-10,5.851e-16,,,,,9.275e+2,4.541e+1,2.789e+2,9.696e-3,2.493e-2,1.407e+5,,,,5.137e+3,1.851e+0
212.9,1.770e+5,,,,,5.660e-7,4.386e-23,,1.126e-8,1.702e-30,1.007e+4,4.533e-11,2.516e-15,,,,,8.054e+2,5.228e+1,2.731e+2,9.564e-3,8.815e-2,1.620e+5,,,,3.799e+3,1.113e+0
