Wavelength (nm),Sum(calc),H I (9.6e-5),He I (5.0e-1),He II (1.3e-6),N I (9.5e-4),N II (5.3e-5),N III (2.7e-13),O I (9.7e-3),O II (3.3e-4),O III (2.3e-14),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-3),Ar II (4.7e-4),Ar III (4.7e-11),Mn I (2.6e-3),Mn II (7.7e-2),Fe I (6.6e-3),Fe II (1.4e-1),Fe III (3.2e-4),Cu I (2.6e-3),Cu II (2.7e-2),La I (8.2e-4),La II (9.9e-2),W I (4.7e-3),W II (9.5e-2),W III (2.7e-4)
194.1,6.332e-9,,,,,,,,,,,,2.530e-25,,,,,,,6.332e-9,2.500e-14,,,,,,,
194.3,6.460e-8,,,,,,,,,,,,2.673e-24,,,,,1.918e-10,,6.438e-8,2.918e-13,,,,,,,3.610e-11
194.5,6.065e-7,,,,,,,,,,,3.414e-17,2.607e-23,,,,,1.943e-9,,6.042e-7,2.861e-12,,,,,,,3.658e-10
194.7,5.257e-6,,,,,,,,,,,3.574e-16,2.347e-22,,,,,1.818e-8,,5.235e-6,2.574e-11,,,,,,,3.423e-9
194.9,4.206e-5,,,,,,,,,,,3.455e-15,1.951e-21,,,,,1.570e-7,,4.187e-5,2.139e-10,,,,,,,2.957e-8
195.1,3.107e-4,,,,,,,,,,,3.085e-14,1.498e-20,,,,,1.252e-6,,3.092e-4,1.644e-9,,,,,,,2.359e-7
195.3,2.118e-3,,,,,,,,,,,2.543e-13,1.061e-19,,,,,9.213e-6,,2.107e-3,1.169e-8,,1.306e-10,,,,,1.737e-6
195.5,1.333e-2,,,,,,,,,,,1.936e-12,6.941e-19,,,,,6.261e-5,,1.326e-2,7.693e-8,,1.644e-9,,,,,1.181e-5
195.7,7.749e-2,,,,,,,,5.680e-22,,,1.362e-11,4.192e-18,,,,,3.929e-4,,7.703e-2,4.686e-7,,1.595e-8,,,,,7.411e-5
195.9,4.158e-1,,,,,,,,5.787e-21,,,8.842e-11,2.337e-17,,,,,2.276e-3,,4.130e-1,2.642e-6,,1.433e-7,,,,,4.295e-4
196.1,2.059e+0,,,,,,,,5.994e-20,,,5.302e-10,1.203e-16,,,,,1.217e-2,,2.045e+0,1.380e-5,,1.193e-6,,,,,2.298e-3
196.3,9.416e+0,,,,,,,,5.275e-19,,,2.937e-9,5.719e-16,,,,,6.011e-2,,9.345e+0,6.675e-5,2.902e-10,9.191e-6,,,,,1.135e-2
196.5,3.975e+1,,,,,,,,4.297e-18,,,1.502e-8,2.510e-15,,,,,2.740e-1,,3.943e+1,2.992e-4,3.020e-9,6.563e-5,,,,,5.176e-2
196.7,1.549e+2,,,,,,,,3.239e-17,,,7.096e-8,1.018e-14,,,,,1.154e+0,,1.536e+2,1.243e-3,2.908e-8,4.342e-4,,,,,2.179e-1
196.9,5.576e+2,,,,,,,,2.261e-16,,,3.096e-7,3.809e-14,,,,,4.483e+0,,5.522e+2,4.791e-3,2.589e-7,2.662e-3,,,,,8.471e-1
197.1,1.852e+3,,,,,,,,1.461e-15,,,1.248e-6,1.317e-13,,,,,1.608e+1,,1.833e+3,1.713e-2,2.132e-6,1.512e-2,,,,,3.040e+0
197.3,5.683e+3,,,,,,,,8.738e-15,,,4.647e-6,4.207e-13,,,,,5.328e+1,,5.620e+3,5.681e-2,1.624e-5,7.965e-2,,,,,1.007e+1
197.5,1.610e+4,,,,,,,,4.842e-14,,,1.599e-5,1.242e-12,,,,,1.629e+2,,1.590e+4,1.750e-1,1.144e-4,3.889e-1,,,,,3.081e+1
197.7,4.212e+4,,,,,,,,2.485e-13,,,5.086e-5,3.388e-12,,,,,4.601e+2,,4.157e+4,5.004e-1,7.452e-4,1.761e+0,,,,,8.701e+1
197.9,1.018e+5,,,,,,,,1.182e-12,,,1.496e-4,8.550e-12,,,,,1.199e+3,,1.003e+5,1.330e+0,4.490e-3,7.392e+0,,,,,2.269e+2
198.1,2.272e+5,,,,,,,,5.208e-12,1.097e-40,,4.072e-4,1.997e-11,,,,,2.887e+3,,2.237e+5,3.286e+0,2.503e-2,2.878e+1,,,,1.004e-8,5.461e+2
198.3,4.687e+5,,,,,9.695e-22,,,2.127e-11,1.096e-39,,1.027e-3,4.319e-11,,,,,6.415e+3,,4.610e+5,7.551e+0,1.290e-1,1.040e+2,,,,9.686e-8,1.214e+3
198.5,8.941e+5,,,,,1.001e-20,,,8.054e-11,1.014e-38,,2.402e-3,8.664e-11,,,,,1.316e+4,,8.781e+5,1.614e+1,6.149e-1,3.485e+2,,,,8.651e-7,2.491e+3
198.7,1.578e+6,,,,,9.570e-20,,,2.828e-10,8.694e-38,,5.227e-3,1.614e-10,,,,,2.493e+4,,1.547e+6,3.213e+1,2.711e+0,1.084e+3,,,,7.156e-6,4.718e+3
198.9,2.580e+6,,,,,8.476e-19,,,9.208e-10,6.901e-37,,1.061e-2,2.798e-10,,,,,4.360e+4,,2.525e+6,5.954e+1,1.106e+1,3.131e+3,,,,5.483e-5,8.252e+3
199.2,4.692e+6,,,,,1.936e-17,,,4.700e-9,1.336e-35,,2.725e-2,5.608e-10,,,,,8.681e+4,,4.575e+6,1.316e+2,7.865e+1,1.339e+4,,,,1.006e-3,1.643e+4
199.4,6.399e+6,,,,,1.416e-16,,,1.269e-8,8.756e-35,,4.762e-2,8.211e-10,,,,,1.243e+5,,6.218e+6,2.046e+2,2.638e+2,3.223e+4,,,,6.363e-3,2.354e+4
199.6,8.176e+6,,,,,9.595e-16,,,3.182e-8,5.313e-34,9.316e-14,7.934e-2,1.130e-9,,,,,1.644e+5,,7.907e+6,2.968e+2,8.186e+2,7.227e+4,,,,3.726e-2,3.113e+4
199.8,9.859e+6,,,,,6.023e-15,,,7.405e-8,2.986e-33,9.330e-13,1.270e-1,1.467e-9,,,,,2.008e+5,,9.466e+6,4.020e+2,2.349e+3,1.513e+5,,,,2.020e-1,3.801e+4
200.0,1.134e+7,,,,,3.502e-14,,,1.601e-7,1.555e-32,8.664e-12,1.964e-1,1.801e-9,,,,,2.263e+5,,1.077e+7,5.089e+2,6.235e+3,2.963e+5,,,,1.015e+0,4.286e+4
200.2,1.262e+7,,,,,1.886e-13,,,3.216e-7,7.495e-32,7.461e-11,2.942e-1,2.095e-9,,,,,2.356e+5,,1.178e+7,6.028e+2,1.531e+4,5.451e+5,,,,4.720e+0,4.463e+4
200.4,1.380e+7,,,,,9.410e-13,,,6.005e-7,3.347e-31,5.957e-10,4.261e-1,2.313e-9,,,,,2.267e+5,,1.255e+7,6.691e+2,3.475e+4,9.460e+5,,,,2.034e+1,4.294e+4
200.6,1.506e+7,,,,,4.349e-12,,,1.043e-6,1.384e-30,4.410e-9,5.935e-1,2.420e-9,,,,,2.022e+5,,1.318e+7,6.974e+2,7.296e+4,1.557e+6,,,,8.118e+1,3.823e+4
200.8,1.658e+7,,,,,1.862e-11,,,1.686e-6,5.305e-30,3.027e-8,7.895e-1,2.397e-9,,,,,1.692e+5,,1.379e+7,6.846e+2,1.417e+5,2.445e+6,,,,3.003e+2,3.160e+4
201.0,1.849e+7,,,,,7.383e-11,,,2.540e-6,1.883e-29,1.927e-7,9.954e-1,2.240e-9,,,,,1.385e+5,,1.438e+7,6.356e+2,2.545e+5,3.690e+6,,,,1.029e+3,2.446e+4
201.2,2.086e+7,,,,,2.712e-10,,,3.569e-6,6.191e-29,1.137e-6,1.182e+0,1.970e-9,,,,,1.261e+5,,1.490e+7,5.618e+2,4.228e+5,5.385e+6,,,,3.270e+3,1.814e+4
201.4,2.370e+7,,,,,9.228e-10,,,4.683e-6,1.886e-28,6.224e-6,1.314e+0,1.625e-9,,,,,1.572e+5,,1.522e+7,4.774e+2,6.496e+5,7.655e+6,,,,9.637e+3,1.355e+4
201.6,2.712e+7,,,,,2.909e-9,,,5.750e-6,5.325e-28,3.158e-5,1.363e+0,1.253e-9,,,,,2.748e+5,,1.521e+7,3.960e+2,9.232e+5,1.067e+7,,,,2.635e+4,1.108e+4
201.8,3.134e+7,,,,,8.492e-9,,,6.618e-6,1.393e-27,1.486e-4,1.317e+0,9.027e-10,,,,,5.524e+5,,1.482e+7,3.275e+2,1.213e+6,1.467e+7,,,,6.691e+4,1.068e+4
202.0,3.684e+7,,,,,2.297e-8,,,7.157e-6,3.380e-27,6.483e-4,1.181e+0,6.099e-10,,,,,1.104e+6,,1.409e+7,2.778e+2,1.475e+6,2.001e+7,,,,1.579e+5,1.199e+4
202.2,4.439e+7,,,,,5.754e-8,,,7.289e-6,7.603e-27,2.623e-3,9.822e-1,3.975e-10,,,,,2.086e+6,,1.315e+7,2.486e+2,1.658e+6,2.713e+7,,,,3.470e+5,1.441e+4
202.4,5.490e+7,,,,,1.335e-7,,,7.006e-6,1.587e-26,9.838e-3,7.573e-1,2.809e-10,,,,,3.669e+6,,1.223e+7,2.392e+2,1.724e+6,3.655e+7,,,,7.110e+5,1.728e+4
202.6,6.919e+7,,,,,2.871e-7,,,6.368e-6,3.074e-26,3.422e-2,5.409e-1,2.843e-10,,,,,5.993e+6,,1.153e+7,2.475e+2,1.658e+6,4.862e+7,,,,1.362e+6,1.993e+4
202.8,8.757e+7,,,,,5.717e-7,,,5.480e-6,5.533e-26,1.103e-1,3.577e-1,4.632e-10,,,,,9.079e+6,,1.122e+7,2.708e+2,1.475e+6,6.332e+7,,,,2.445e+6,2.182e+4
203.0,1.094e+8,,,,,1.055e-6,,,4.467e-6,9.262e-26,3.300e-1,2.190e-1,9.298e-10,,,,,1.276e+7,,1.134e+7,3.057e+2,1.213e+6,7.996e+7,,,,4.130e+6,2.263e+4
203.2,1.331e+8,,,,,1.802e-6,,,3.446e-6,1.444e-25,9.150e-1,1.242e-1,1.874e-9,,,,,1.662e+7,,1.179e+7,3.485e+2,9.232e+5,9.711e+7,,,,6.586e+6,2.236e+4
203.4,1.559e+8,,,,,2.852e-6,,,2.513e-6,2.099e-25,2.352e+0,6.555e-2,3.564e-9,,,,,2.010e+7,,1.242e+7,3.950e+2,6.496e+5,1.128e+8,,,,9.955e+6,2.130e+4
203.6,1.751e+8,,,,,4.182e-6,,,1.729e-6,2.851e-25,5.608e+0,3.309e-2,6.302e-9,,,,,2.253e+7,,1.303e+7,4.426e+2,4.228e+5,1.248e+8,,,,1.431e+7,1.993e+4
203.8,1.883e+8,,,,,5.680e-6,,,1.119e-6,3.629e-25,1.240e+1,1.879e-2,1.034e-8,,,,,2.344e+7,,1.344e+7,4.932e+2,2.545e+5,1.316e+8,,,,1.960e+7,1.875e+4
204.0,1.944e+8,,,,,7.146e-6,,,6.796e-7,4.337e-25,2.541e+1,1.934e-2,1.571e-8,,,,,2.262e+7,,1.355e+7,5.585e+2,1.417e+5,1.324e+8,,,,2.560e+7,1.804e+4
204.2,1.935e+8,,,,,8.329e-6,,,3.865e-7,4.883e-25,4.829e+1,3.990e-2,2.214e-8,,,,,2.026e+7,,1.336e+7,6.651e+2,7.296e+4,1.279e+8,,,,3.186e+7,1.779e+4
204.5,1.817e+8,,,,,9.081e-6,6.150e-36,,1.458e-7,5.249e-25,1.098e+2,1.630e-1,3.209e-8,,,,,1.493e+7,,1.263e+7,1.012e+3,2.329e+4,1.140e+8,,,,4.018e+7,1.763e+4
204.7,1.694e+8,,,,,8.748e-6,5.421e-35,,6.967e-8,5.155e-25,1.728e+2,4.057e-1,3.737e-8,,,,,1.109e+7,,1.199e+7,1.477e+3,9.865e+3,1.025e+8,,,,4.378e+7,1.706e+4
204.9,1.550e+8,,,,,7.822e-6,4.450e-34,,3.097e-8,4.817e-25,2.521e+2,9.585e-1,4.034e-8,,,,,7.650e+6,,1.133e+7,2.236e+3,3.865e+3,9.107e+7,,,,4.497e+7,1.580e+4
205.1,1.394e+8,,,,,6.525e-6,3.401e-33,,1.279e-8,4.298e-25,3.410e+2,2.135e+0,4.037e-8,,,,,4.904e+6,,1.070e+7,3.378e+3,1.400e+3,8.031e+7,,,,4.343e+7,1.385e+4
205.3,1.229e+8,,,,,5.157e-6,2.421e-32,,4.902e-9,3.680e-25,4.278e+2,4.463e+0,3.748e-8,,,,,2.933e+6,,1.011e+7,4.959e+3,4.693e+2,7.034e+7,,,,3.947e+7,1.147e+4
205.5,1.061e+8,,,,,4.050e-6,1.605e-31,,1.744e-9,3.050e-25,4.975e+2,8.734e+0,3.233e-8,,,,,1.662e+6,,9.591e+6,6.971e+3,1.455e+2,6.083e+7,,,,3.399e+7,9.117e+3
205.7,8.997e+7,,,,,3.536e-6,9.906e-31,,5.785e-10,2.482e-25,5.366e+2,1.596e+1,2.603e-8,,,,,9.455e+5,,9.151e+6,9.325e+3,4.170e+1,5.141e+7,,,,2.845e+7,7.335e+3
205.9,7.606e+7,,,,,3.959e-6,5.694e-30,,1.900e-10,2.021e-25,5.366e+2,2.719e+1,1.976e-8,,,,,6.359e+5,,8.800e+6,1.185e+4,1.106e+1,4.197e+7,,,,2.464e+7,6.682e+3
206.1,6.645e+7,,,,,5.701e-6,3.049e-29,,9.842e-11,1.679e-25,4.975e+2,4.311e+1,1.449e-8,,,,,6.233e+5,,8.518e+6,1.432e+4,2.711e+0,3.274e+7,,,,2.455e+7,7.715e+3
206.3,6.349e+7,,,,,9.174e-6,1.520e-28,,1.648e-10,1.437e-25,4.278e+2,6.361e+1,1.078e-8,,,,,8.429e+5,,8.256e+6,1.651e+4,6.149e-1,2.421e+7,,,,3.016e+7,1.098e+4
206.5,6.938e+7,,,,,1.474e-5,7.061e-28,,4.428e-10,1.259e-25,3.410e+2,8.724e+1,8.735e-9,,,,,1.263e+6,,7.949e+6,1.827e+4,1.290e-1,1.688e+7,,,,4.325e+7,1.692e+4
206.7,8.551e+7,,,,,2.258e-5,3.055e-27,,1.185e-9,1.106e-25,2.521e+2,1.112e+2,8.125e-9,,,,,1.861e+6,,7.543e+6,1.953e+4,2.503e-2,1.109e+7,,,,6.497e+7,2.577e+4
206.9,1.118e+8,,,,,3.247e-5,1.231e-26,,2.972e-9,9.499e-26,1.728e+2,1.317e+2,8.476e-9,,,,,2.611e+6,2.878e-10,7.031e+6,2.033e+4,4.490e-3,6.894e+6,,,,9.517e+7,3.733e+4
207.1,1.460e+8,,,,,4.374e-5,4.620e-26,,6.946e-9,7.828e-26,1.098e+2,1.449e+2,9.241e-9,,,,,3.465e+6,2.552e-9,6.459e+6,2.075e+4,7.452e-4,4.124e+6,,,,1.318e+8,5.087e+4
207.3,1.837e+8,,,,,5.529e-5,1.615e-25,,1.513e-8,6.103e-26,6.471e+1,1.480e+2,9.912e-9,,,,,4.360e+6,2.110e-8,5.913e+6,2.085e+4,1.144e-4,2.472e+6,,,,1.709e+8,6.517e+4
207.5,2.190e+8,,,,,6.595e-5,5.261e-25,,3.075e-8,4.463e-26,3.536e+1,1.404e+2,1.012e-8,,,,,5.225e+6,1.625e-7,5.486e+6,2.062e+4,1.624e-5,1.602e+6,,,,2.066e+8,7.889e+4
207.7,2.458e+8,,,,,7.496e-5,1.596e-24,,5.836e-8,3.046e-26,1.792e+1,1.237e+2,9.687e-9,,,,,5.996e+6,1.167e-6,5.240e+6,1.997e+4,2.132e-6,1.228e+6,,,,2.332e+8,9.106e+4
207.9,2.597e+8,,,,,8.240e-5,4.513e-24,,1.036e-7,1.935e-26,8.417e+0,1.012e+2,8.643e-9,,,,,6.629e+6,7.806e-6,5.182e+6,1.882e+4,2.589e-7,1.144e+6,,,,2.466e+8,1.014e+5
208.1,2.594e+8,,,,,8.938e-5,1.188e-23,,1.722e-7,1.143e-26,3.667e+0,7.691e+1,7.171e-9,,,,,7.100e+6,4.868e-5,5.262e+6,1.711e+4,2.908e-8,1.230e+6,,,,2.456e+8,1.106e+5
208.3,2.473e+8,,,,,9.773e-5,2.916e-23,,2.685e-7,6.269e-27,1.483e+0,5.426e+1,5.526e-9,,,,,7.407e+6,2.829e-4,5.389e+6,1.492e+4,3.020e-9,1.442e+6,,,,2.330e+8,1.195e+5
208.5,2.287e+8,,,,,1.092e-4,6.666e-23,,3.939e-7,3.191e-27,5.639e-1,3.554e+1,3.955e-9,,,,,7.571e+6,1.533e-3,5.460e+6,1.245e+4,2.883e-9,1.805e+6,,,,2.137e+8,1.287e+5
208.7,2.092e+8,,,,,1.246e-4,1.420e-22,,5.447e-7,1.508e-27,2.279e-1,2.161e+1,2.628e-9,,,,,7.627e+6,7.739e-3,5.390e+6,9.961e+3,2.745e-9,2.412e+6,,,,1.936e+8,1.376e+5
208.9,1.935e+8,,,,,1.429e-4,2.819e-22,,7.116e-7,6.612e-28,1.881e-1,1.221e+1,1.621e-9,,,,,7.613e+6,3.642e-2,5.140e+6,7.698e+3,2.607e-9,3.424e+6,,,,1.772e+8,1.446e+5
209.1,1.838e+8,,,,,1.612e-4,5.216e-22,,8.803e-7,2.690e-28,4.383e-1,6.400e+0,9.284e-10,,,,,7.560e+6,1.597e-1,4.724e+6,5.820e+3,2.469e-9,5.066e+6,,,,1.663e+8,1.474e+5
209.3,1.794e+8,,,,,1.755e-4,8.996e-22,,1.033e-6,1.015e-28,1.307e+0,3.116e+0,4.936e-10,,,,,7.480e+6,6.529e-1,4.210e+6,4.381e+3,2.331e-9,7.593e+6,,,,1.600e+8,1.440e+5
209.5,1.783e+8,,,,,1.818e-4,1.447e-21,,1.150e-6,3.556e-29,3.764e+0,1.409e+0,2.436e-10,,,,,7.362e+6,2.487e+0,3.698e+6,3.342e+3,2.193e-9,1.125e+7,,,,1.558e+8,1.338e+5
