Wavelength (nm),Sum(calc),H I (2.9e-5),He I (1.0e-4),He II (2.5e-10),N I (9.5e-5),N II (5.3e-6),N III (2.7e-14),O I (9.7e-5),O II (3.3e-6),O III (2.3e-16),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-1),Ar II (4.7e-2),Ar III (4.7e-9),Mn I (6.5e-7),Mn II (1.9e-5),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
194.1,4.221e-13,,,,,,,,,,,,2.530e-25,,,,,,,4.221e-13,1.666e-18,,,,,,,
194.3,4.343e-12,,,,,,,,,,,,2.673e-24,,,,,4.802e-14,,4.292e-12,1.945e-17,,,,,,,3.610e-15
194.5,4.080e-11,,,,,,,,,,,3.414e-17,2.607e-23,,,,,4.865e-13,,4.028e-11,1.907e-16,,,,,,,3.658e-14
194.7,3.539e-10,,,,,,,,,,,3.574e-16,2.347e-22,,,,,4.551e-12,,3.490e-10,1.716e-15,,,,,,,3.423e-13
194.9,2.834e-9,,,,,,,,,,,3.455e-15,1.951e-21,,,,,3.930e-11,,2.791e-9,1.426e-14,,,,,,,2.957e-12
195.1,2.095e-8,,,,,,,,,,,3.085e-14,1.498e-20,,,,,3.133e-10,,2.061e-8,1.096e-13,,,,,,,2.359e-11
195.3,1.430e-7,,,,,,,,,,,2.543e-13,1.061e-19,,,,,2.306e-9,,1.405e-7,7.794e-13,,4.353e-14,,,,,1.737e-10
195.5,9.009e-7,,,,,,,,,,,1.936e-12,6.941e-19,,,,,1.567e-8,,8.840e-7,5.129e-12,,5.482e-13,,,,,1.181e-9
195.7,5.241e-6,,,,,,,,5.680e-24,,,1.362e-11,4.192e-18,,,,,9.835e-8,,5.135e-6,3.124e-11,,5.318e-12,,,,,7.411e-9
195.9,2.815e-5,,,,,,,,5.787e-23,,,8.842e-11,2.337e-17,,,,,5.698e-7,,2.754e-5,1.762e-10,,4.778e-11,,,,,4.295e-8
196.1,1.396e-4,,,,,,,,5.994e-22,,,5.302e-10,1.203e-16,,,,,3.047e-6,,1.363e-4,9.199e-10,,3.975e-10,,,,,2.298e-7
196.3,6.392e-4,,,,,,,,5.275e-21,,,2.937e-9,5.719e-16,,,,,1.505e-5,,6.230e-4,4.450e-9,9.673e-14,3.064e-9,,,,,1.135e-6
196.5,2.702e-3,,,,,,,,4.297e-20,,,1.502e-8,2.510e-15,,,,,6.861e-5,,2.628e-3,1.995e-8,1.007e-12,2.188e-8,,,,,5.176e-6
196.7,1.055e-2,,,,,,,,3.239e-19,,,7.096e-8,1.018e-14,,,,,2.888e-4,,1.024e-2,8.289e-8,9.693e-12,1.447e-7,,,,,2.179e-5
196.9,3.802e-2,,,,,,,,2.261e-18,,,3.096e-7,3.809e-14,,,,,1.122e-3,,3.681e-2,3.194e-7,8.630e-11,8.872e-7,,,,,8.471e-5
197.1,1.266e-1,,,,,,,,1.461e-17,,,1.248e-6,1.317e-13,,,,,4.027e-3,,1.222e-1,1.142e-6,7.107e-10,5.041e-6,,,,,3.040e-4
