Wavelength (nm),Sum(calc),H I (9.6e-2),He I (1.0e-5),He II (2.5e-11),N I (4.7e-1),N II (2.7e-2),N III (1.4e-10),O I (3.9e-1),O II (1.3e-2),O III (9.2e-13),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-6),Ar II (4.7e-7),Ar III (4.7e-14),Mn I (3.3e-7),Mn II (9.6e-6),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
196.6,4.086e-13,,,,,,,,,,,,,,,,,,,4.086e-13,7.021e-19,,,,,,,
196.7,3.180e-12,,,,,,,,,,,,8.042e-25,,,,,2.822e-15,,3.177e-12,8.569e-18,,,,,,,4.241e-16
196.8,2.327e-11,,,,,,,,,,,,6.245e-24,,,,,2.326e-14,,2.324e-11,6.430e-17,,,,,,,3.496e-15
197.0,1.036e-9,,,,,,,,,,,1.322e-17,3.134e-22,,,,,1.315e-12,,1.035e-9,3.020e-15,,,,,,,1.978e-13
197.1,6.309e-9,,,,,,,,,,,1.083e-16,2.026e-21,,,,,9.021e-12,,6.299e-9,1.890e-14,,,,,,,1.357e-12
197.2,3.613e-8,,,,,,,,,,,8.342e-16,1.232e-20,,,,,5.821e-11,,3.607e-8,1.114e-13,,,,,,,8.762e-12
197.4,9.863e-7,,,,,,,,,,,4.124e-14,3.789e-19,,,,,2.018e-9,,9.840e-7,3.230e-12,,,,,,,3.040e-10
197.5,4.701e-6,,,,,,,,,,,2.646e-13,1.917e-18,,,,,1.084e-8,,4.689e-6,1.591e-11,,,,,,,1.633e-9
197.6,2.108e-5,,,,,,,,,,,1.598e-12,9.125e-18,,,,,5.478e-8,,2.101e-5,7.379e-11,,,,,,,8.256e-9
197.7,8.889e-5,,,,,,,,,,,9.075e-12,4.086e-17,,,,,2.604e-7,,8.859e-5,3.226e-10,,,,,,,3.926e-8
197.9,1.316e-3,,,,,,,,,,,2.439e-10,6.817e-16,,,,,4.899e-6,,1.310e-3,5.161e-9,,1.374e-13,,,,,7.388e-7
198.0,4.619e-3,,,,,,,,,,,1.154e-9,2.540e-15,,,,,1.938e-5,,4.597e-3,1.889e-8,,1.041e-12,,,,,2.924e-6
198.1,1.525e-2,,,,,,,,,,,5.136e-9,8.904e-15,,,,,7.216e-5,,1.517e-2,6.523e-8,,7.562e-12,,,,,1.089e-5
198.2,4.738e-2,,,,,,,,8.953e-21,,,2.151e-8,2.936e-14,,,,,2.527e-4,,4.709e-2,2.124e-7,,5.096e-11,,,,,3.813e-5
198.4,3.805e-1,,,,,,,,5.385e-19,,,3.143e-7,2.657e-13,,,,,2.579e-3,,3.776e-1,1.894e-6,,1.934e-9,,,,,3.894e-4
198.5,9.840e-1,,,,,,,,3.815e-18,,,1.096e-6,7.292e-13,,,,,7.518e-3,,9.754e-1,5.189e-6,,1.090e-8,,,,,1.135e-3
198.6,2.394e+0,,,,,,,,2.564e-17,,,3.598e-6,1.882e-12,,,,,2.062e-2,,2.370e+0,1.344e-5,,5.784e-8,,,,,3.114e-3
198.7,5.478e+0,,,,,,,,1.614e-16,,,1.111e-5,4.571e-12,,,,,5.318e-2,,5.416e+0,3.290e-5,,2.894e-7,,,,,8.033e-3
