Wavelength (nm),Sum(calc),H I (2.9e-5),He I (1.0e-4),He II (2.5e-10),N I (9.5e-5),N II (5.3e-6),N III (2.7e-14),O I (9.7e-5),O II (3.3e-6),O III (2.3e-16),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-1),Ar II (4.7e-2),Ar III (4.7e-9),Mn I (6.5e-7),Mn II (1.9e-5),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
753.3,1.472e+5,5.933e-14,1.457e-19,1.191e-36,5.780e-1,1.173e-21,7.843e-38,1.679e-14,4.791e-9,3.409e-26,7.469e-16,9.554e-17,1.135e-12,1.471e+5,3.264e-3,,,2.995e-16,2.984e+0,8.177e-1,4.381e-24,,7.417e-3,2.915e-1,,,,
753.5,1.222e+5,5.925e-14,1.455e-19,1.190e-36,6.526e-1,1.181e-21,7.986e-38,1.700e-14,4.668e-9,2.916e-26,7.444e-16,9.611e-17,6.374e-13,1.222e+5,5.211e-3,,,2.988e-16,2.444e+0,7.202e-1,4.350e-24,,1.089e-2,2.148e-1,,,,
753.6,1.107e+5,5.921e-14,1.454e-19,1.190e-36,6.896e-1,1.185e-21,8.058e-38,1.711e-14,4.579e-9,2.680e-26,7.431e-16,9.640e-17,4.838e-13,1.106e+5,6.543e-3,,,2.985e-16,2.197e+0,6.745e-1,4.335e-24,,1.311e-2,1.832e-1,,,,
753.7,9.983e+4,5.917e-14,1.453e-19,1.190e-36,7.257e-1,1.189e-21,8.129e-38,1.722e-14,4.471e-9,2.452e-26,7.418e-16,9.668e-17,3.754e-13,9.982e+4,8.180e-3,,,2.982e-16,1.967e+0,6.312e-1,4.320e-24,,1.571e-2,1.556e-1,,,,
753.8,8.971e+4,5.914e-14,1.452e-19,1.190e-36,7.608e-1,1.193e-21,8.201e-38,1.733e-14,4.347e-9,2.234e-26,7.405e-16,9.697e-17,3.030e-13,8.970e+4,1.018e-2,,,2.979e-16,1.753e+0,5.902e-1,4.304e-24,,1.876e-2,1.316e-1,,,,
754.0,7.157e+4,5.906e-14,1.450e-19,1.189e-36,8.260e-1,1.200e-21,8.344e-38,1.754e-14,4.057e-9,1.830e-26,7.380e-16,9.754e-17,2.428e-13,7.157e+4,1.558e-2,,,2.972e-16,1.375e+0,5.152e-1,4.274e-24,,2.638e-2,9.285e-2,,,,
754.1,6.355e+4,5.902e-14,1.449e-19,1.189e-36,8.554e-1,1.204e-21,8.415e-38,1.765e-14,3.894e-9,1.645e-26,7.367e-16,9.782e-17,2.489e-13,6.355e+4,1.915e-2,,,2.969e-16,1.209e+0,4.813e-1,4.258e-24,,3.109e-2,7.749e-2,,,,
754.2,5.620e+4,5.898e-14,1.448e-19,1.188e-36,8.823e-1,1.208e-21,8.487e-38,1.776e-14,3.721e-9,1.473e-26,7.354e-16,9.811e-17,2.785e-13,5.620e+4,2.344e-2,,,2.966e-16,1.059e+0,4.497e-1,4.243e-24,,3.648e-2,6.439e-2,,,,
754.3,4.950e+4,5.894e-14,1.447e-19,1.188e-36,9.064e-1,1.212e-21,8.558e-38,1.786e-14,3.541e-9,1.313e-26,7.342e-16,9.840e-17,3.330e-13,4.950e+4,2.857e-2,,,2.963e-16,9.239e-1,4.202e-1,4.227e-24,,4.263e-2,5.328e-2,,,,
754.5,3.794e+4,5.887e-14,1.445e-19,1.188e-36,9.451e-1,1.220e-21,8.701e-38,1.808e-14,3.164e-9,1.030e-26,7.316e-16,9.897e-17,5.332e-13,3.794e+4,4.189e-2,,,2.956e-16,6.936e-1,3.675e-1,4.197e-24,,5.746e-2,3.599e-2,,,,
754.6,3.301e+4,5.883e-14,1.444e-19,1.187e-36,9.593e-1,1.224e-21,8.773e-38,1.819e-14,2.972e-9,9.062e-27,7.304e-16,9.925e-17,6.921e-13,3.301e+4,5.040e-2,,,2.953e-16,5.971e-1,3.440e-1,4.181e-24,,6.629e-2,2.939e-2,,,,
754.7,2.861e+4,5.879e-14,1.443e-19,1.187e-36,9.699e-1,1.227e-21,8.844e-38,1.829e-14,2.780e-9,7.939e-27,7.291e-16,9.954e-17,9.029e-13,2.861e+4,6.039e-2,,,2.950e-16,5.118e-1,3.222e-1,4.166e-24,,7.614e-2,2.390e-2,,,,
754.8,2.469e+4,5.875e-14,1.442e-19,1.187e-36,9.767e-1,1.231e-21,8.916e-38,1.840e-14,2.589e-9,6.925e-27,7.278e-16,9.982e-17,1.179e-12,2.469e+4,7.205e-2,,,2.947e-16,4.368e-1,3.019e-1,4.151e-24,,8.709e-2,1.934e-2,,,,
755.0,1.817e+4,5.867e-14,1.440e-19,1.186e-36,9.792e-1,1.239e-21,9.059e-38,1.862e-14,2.216e-9,5.202e-27,2.161e-15,1.004e-16,1.999e-12,1.817e+4,1.013e-1,,,2.940e-16,3.140e-1,2.657e-1,4.120e-24,,1.125e-1,1.251e-2,,,,
755.1,1.549e+4,5.864e-14,1.439e-19,1.186e-36,9.748e-1,1.243e-21,9.130e-38,1.873e-14,2.037e-9,4.479e-27,3.700e-15,1.007e-16,2.590e-12,1.549e+4,1.193e-1,,,2.937e-16,2.645e-1,2.494e-1,4.104e-24,,1.270e-1,9.998e-3,,,,
755.2,1.316e+4,5.860e-14,1.438e-19,1.186e-36,9.669e-1,1.247e-21,9.202e-38,1.883e-14,1.864e-9,3.840e-27,6.310e-15,1.010e-16,3.343e-12,1.315e+4,1.399e-1,,,2.934e-16,2.218e-1,2.342e-1,4.089e-24,,1.428e-1,7.953e-3,,,,
755.3,1.112e+4,5.856e-14,1.437e-19,1.185e-36,9.556e-1,1.251e-21,9.273e-38,1.894e-14,1.699e-9,3.277e-27,1.072e-14,1.012e-16,4.299e-12,1.112e+4,1.634e-1,,,2.930e-16,1.853e-1,2.199e-1,4.074e-24,,1.599e-1,6.300e-3,,,,
755.5,7.857e+3,5.848e-14,1.435e-19,1.185e-36,9.238e-1,1.258e-21,9.416e-38,1.916e-14,1.393e-9,2.357e-27,3.052e-14,1.018e-16,7.018e-12,7.856e+3,2.201e-1,,,2.924e-16,1.275e-1,1.938e-1,4.043e-24,,1.980e-1,3.901e-3,,,,
755.6,6.563e+3,5.844e-14,1.434e-19,1.184e-36,9.037e-1,1.262e-21,9.487e-38,1.926e-14,1.253e-9,1.986e-27,5.119e-14,1.021e-16,8.912e-12,6.561e+3,2.538e-1,,,2.921e-16,1.051e-1,1.818e-1,4.028e-24,,2.188e-1,3.050e-3,,,,
755.7,5.460e+3,5.840e-14,1.433e-19,1.184e-36,8.814e-1,1.266e-21,9.559e-38,1.937e-14,1.122e-9,1.666e-27,8.549e-14,1.024e-16,1.127e-11,5.458e+3,2.914e-1,,,2.918e-16,8.626e-2,1.704e-1,4.012e-24,,2.409e-1,2.374e-3,,,,
755.8,4.523e+3,5.837e-14,1.432e-19,1.184e-36,8.571e-1,1.270e-21,9.630e-38,1.948e-14,1.001e-9,1.392e-27,1.422e-13,1.027e-16,1.419e-11,4.522e+3,3.332e-1,,,2.914e-16,7.049e-2,1.595e-1,3.997e-24,,2.640e-1,1.840e-3,,,,
755.9,3.733e+3,5.833e-14,1.431e-19,1.184e-36,8.312e-1,1.274e-21,9.702e-38,1.959e-14,8.886e-10,1.157e-27,2.355e-13,1.030e-16,1.779e-11,3.731e+3,3.793e-1,,,2.911e-16,5.735e-2,1.492e-1,3.981e-24,,2.881e-1,1.420e-3,,,,
756.1,2.513e+3,5.825e-14,1.429e-19,1.183e-36,7.760e-1,1.282e-21,9.845e-38,1.980e-14,6.916e-10,7.902e-28,6.382e-13,1.035e-16,2.761e-11,2.512e+3,4.855e-1,,,2.905e-16,3.747e-2,1.297e-1,3.951e-24,,3.388e-1,8.343e-4,,,,
756.2,2.052e+3,5.821e-14,1.428e-19,1.183e-36,7.475e-1,1.285e-21,9.916e-38,1.991e-14,6.062e-10,6.487e-28,1.044e-12,1.038e-16,3.419e-11,2.050e+3,5.457e-1,,,2.902e-16,3.009e-2,1.206e-1,3.935e-24,,3.651e-1,6.354e-4,,,,
756.3,1.670e+3,5.817e-14,1.427e-19,1.182e-36,7.188e-1,1.289e-21,9.988e-38,2.002e-14,5.291e-10,5.302e-28,1.701e-12,1.041e-16,4.214e-11,1.668e+3,6.108e-1,,,2.898e-16,2.406e-2,1.119e-1,3.920e-24,,3.917e-1,4.818e-4,,,,
756.4,1.357e+3,5.814e-14,1.426e-19,1.182e-36,6.903e-1,1.293e-21,1.006e-37,2.012e-14,4.598e-10,4.315e-28,2.760e-12,1.044e-16,5.174e-11,1.355e+3,6.808e-1,,,2.895e-16,1.916e-2,1.035e-1,3.905e-24,,4.185e-1,3.638e-4,,,,
756.6,8.970e+2,5.806e-14,1.424e-19,1.182e-36,6.352e-1,1.301e-21,1.020e-37,2.034e-14,3.427e-10,2.821e-28,7.173e-12,1.050e-16,7.698e-11,8.950e+2,8.350e-1,,,2.889e-16,1.198e-2,8.794e-2,3.874e-24,,4.715e-1,2.047e-4,,,,
756.7,7.342e+2,5.802e-14,1.422e-19,1.181e-36,6.091e-1,1.305e-21,1.027e-37,2.045e-14,2.940e-10,2.266e-28,1.149e-11,1.052e-16,9.331e-11,7.320e+2,9.189e-1,,,2.886e-16,9.418e-3,8.070e-2,3.858e-24,,4.974e-1,1.525e-4,,,,
756.8,6.078e+2,5.798e-14,1.421e-19,1.181e-36,5.842e-1,1.309e-21,1.035e-37,2.056e-14,2.511e-10,1.812e-28,1.834e-11,1.055e-16,1.126e-10,6.056e+2,1.007e+0,,,2.882e-16,7.369e-3,7.382e-2,3.843e-24,,5.224e-1,1.132e-4,,,,
756.9,5.132e+2,5.794e-14,1.420e-19,1.181e-36,5.607e-1,1.313e-21,1.042e-37,2.066e-14,2.136e-10,1.443e-28,2.914e-11,1.058e-16,1.354e-10,5.110e+2,1.099e+0,,,2.879e-16,5.740e-3,6.731e-2,3.828e-24,,5.463e-1,8.362e-5,,,,
757.1,4.063e+2,5.787e-14,1.418e-19,1.180e-36,5.186e-1,1.320e-21,1.056e-37,2.088e-14,1.525e-10,9.035e-29,7.267e-11,1.064e-16,1.931e-10,4.039e+2,1.291e+0,,,2.873e-16,3.439e-3,5.539e-2,3.797e-24,,5.899e-1,4.507e-5,,,,
757.2,3.901e+2,5.783e-14,1.417e-19,1.180e-36,5.001e-1,1.324e-21,1.063e-37,2.099e-14,1.280e-10,7.103e-29,1.140e-10,1.067e-16,2.292e-10,3.875e+2,1.391e+0,,,2.870e-16,2.644e-3,4.998e-2,3.782e-24,,6.091e-1,3.288e-5,,,,
757.3,3.978e+2,5.779e-14,1.416e-19,1.180e-36,4.833e-1,1.328e-21,1.070e-37,2.109e-14,1.070e-10,5.559e-29,1.782e-10,1.070e-16,2.708e-10,3.952e+2,1.492e+0,,,2.866e-16,2.024e-3,4.494e-2,3.766e-24,,6.262e-1,2.391e-5,,,,
757.4,4.303e+2,5.775e-14,1.415e-19,1.179e-36,4.682e-1,1.332e-21,1.077e-37,2.120e-14,8.904e-11,4.332e-29,2.774e-10,1.072e-16,3.187e-10,4.275e+2,1.594e+0,,,2.863e-16,1.543e-3,4.026e-2,3.751e-24,,6.410e-1,1.733e-5,,,,
757.6,5.776e+2,5.767e-14,1.413e-19,1.179e-36,4.427e-1,1.340e-21,1.092e-37,2.142e-14,6.088e-11,2.597e-29,6.636e-10,1.078e-16,4.357e-10,5.746e+2,1.796e+0,,,2.857e-16,8.851e-4,3.194e-2,3.720e-24,,6.633e-1,9.092e-6,,,,
757.7,6.997e+2,5.764e-14,1.412e-19,1.178e-36,4.322e-1,1.344e-21,1.099e-37,2.152e-14,5.002e-11,1.997e-29,1.020e-9,1.081e-16,5.063e-10,6.966e+2,1.894e+0,,,2.853e-16,6.660e-4,2.828e-2,3.705e-24,,6.704e-1,6.636e-6,,,,
757.8,8.612e+2,5.760e-14,1.411e-19,1.178e-36,4.229e-1,1.347e-21,1.106e-37,2.163e-14,4.091e-11,1.530e-29,1.561e-9,1.084e-16,5.858e-10,8.580e+2,1.989e+0,,,2.850e-16,4.989e-4,2.495e-2,3.689e-24,,6.747e-1,4.929e-6,,,,
757.9,1.069e+3,5.756e-14,1.410e-19,1.178e-36,4.148e-1,1.351e-21,1.113e-37,2.174e-14,3.332e-11,1.167e-29,2.380e-9,1.087e-16,6.749e-10,1.066e+3,2.080e+0,,,2.847e-16,3.722e-4,2.192e-2,3.674e-24,,6.762e-1,3.793e-6,,,,
758.1,1.662e+3,5.748e-14,1.408e-19,1.177e-36,4.010e-1,1.359e-21,1.127e-37,2.196e-14,2.182e-11,6.696e-30,5.462e-9,1.092e-16,8.847e-10,1.659e+3,2.245e+0,,,2.841e-16,2.044e-4,1.672e-2,3.643e-24,,6.704e-1,2.798e-6,,,,
