Wavelength (nm),Sum(calc),H I (9.6e-5),He I (1.0e-4),He II (2.5e-10),N I (9.5e-3),N II (5.3e-4),N III (2.7e-12),O I (9.7e-3),O II (3.3e-4),O III (2.3e-14),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (8.8e-1),Ar II (4.3e-2),Ar III (4.3e-9),Mn I (5.9e-6),Mn II (1.7e-4),Fe I (8.8e-4),Fe II (1.9e-2),Fe III (4.3e-5),Cu I (1.7e-3),Cu II (1.8e-2),La I (1.4e-4),La II (1.7e-2),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
196.6,8.171e-10,,,,,,,,,,,,,,,,,,,8.171e-10,1.404e-15,,,,,,,
196.7,6.355e-9,,,,,,,,,,,,8.042e-25,,,,,5.080e-14,,6.354e-9,1.714e-14,,,,,,,4.241e-16
196.8,4.648e-8,,,,,,,,,,,,6.245e-24,,,,,4.187e-13,,4.648e-8,1.286e-13,,,,,,,3.496e-15
197.0,2.070e-6,,,,,,,,,,,1.322e-17,3.134e-22,,,,,2.367e-11,,2.070e-6,6.041e-12,,,,,,,1.978e-13
197.1,1.260e-5,,,,,,,,,,,1.083e-16,2.026e-21,,,,,1.624e-10,,1.260e-5,3.780e-11,,,,,,,1.357e-12
197.2,7.213e-5,,,,,,,,,,,8.342e-16,1.232e-20,,,,,1.048e-9,,7.213e-5,2.227e-10,,,,,,,8.762e-12
197.4,1.968e-3,,,,,,,,,,,4.124e-14,3.789e-19,,,,,3.633e-8,,1.968e-3,6.460e-9,,,,,,,3.040e-10
197.5,9.377e-3,,,,,,,,,,,2.646e-13,1.917e-18,,,,,1.951e-7,,9.377e-3,3.181e-8,,,,,,,1.633e-9
197.6,4.203e-2,,,,,,,,,,,1.598e-12,9.125e-18,,,,,9.861e-7,,4.203e-2,1.476e-7,,,,,,,8.256e-9
197.7,1.772e-1,,,,,,,,,,,9.075e-12,4.086e-17,,,,,4.688e-6,,1.772e-1,6.452e-7,,,,,,,3.926e-8
197.9,2.621e+0,,,,,,,,,,,2.439e-10,6.817e-16,,,,,8.818e-5,,2.621e+0,1.032e-5,,2.748e-10,,,,,7.388e-7
198.0,9.194e+0,,,,,,,,,,,1.154e-9,2.540e-15,,,,,3.489e-4,,9.194e+0,3.779e-5,,2.083e-9,,,,,2.924e-6
198.1,3.034e+1,,,,,,,,,,,5.136e-9,8.904e-15,,,,,1.299e-3,,3.034e+1,1.305e-4,,1.512e-8,,,,,1.089e-5
198.2,9.418e+1,,,,,,,,2.238e-22,,,2.151e-8,2.936e-14,,,,,4.548e-3,,9.418e+1,4.248e-4,,1.019e-7,,,,,3.813e-5
198.4,7.552e+2,,,,,,,,1.346e-20,,,3.143e-7,2.657e-13,,,,,4.643e-2,,7.551e+2,3.787e-3,,3.868e-6,,,,,3.894e-4
198.5,1.951e+3,,,,,,,,9.538e-20,,,1.096e-6,7.292e-13,,,,,1.353e-1,,1.951e+3,1.038e-2,,2.179e-5,,,,,1.135e-3
198.6,4.740e+3,,,,,,,,6.410e-19,,,3.598e-6,1.882e-12,,,,,3.711e-1,,4.740e+3,2.687e-2,,1.157e-4,,,,,3.114e-3
198.7,1.083e+4,,,,,,,,4.034e-18,,,1.111e-5,4.571e-12,,,,,9.572e-1,,1.083e+4,6.579e-2,,5.788e-4,,,,,8.033e-3
198.9,4.710e+4,,,,,,,,1.333e-16,,,8.826e-5,2.244e-11,,,,,5.301e+0,,4.709e+4,3.345e-1,8.371e-11,1.214e-2,,,,,4.450e-2
199.0,8.959e+4,,,,,,,,7.008e-16,,,2.270e-4,4.537e-11,,,,,1.138e+1,,8.958e+4,6.959e-1,1.976e-9,5.093e-2,,,,,9.557e-2
