Wavelength (nm),Sum(calc),H I (1.9e-5),He I (2.0e-5),He II (5.1e-11),N I (1.9e-5),N II (1.1e-6),N III (5.5e-15),O I (1.9e-5),O II (6.5e-7),O III (4.6e-17),Si I (2.2e-6),Si II (1.8e-5),Si III (1.5e-8),Ar I (9.5e-1),Ar II (4.7e-2),Ar III (4.7e-9),Mn I (6.5e-7),Mn II (1.9e-5),Fe I (8.8e-7),Fe II (1.9e-5),Fe III (4.3e-8),Cu I (1.7e-6),Cu II (1.8e-5),La I (1.4e-7),La II (1.7e-5),W I (9.3e-7),W II (1.9e-5),W III (5.4e-8)
196.5,1.697e-19,,,,,,,,,,,,,,,,,,,,1.697e-19,,,,,,,
196.7,6.361e-12,,,,,,,,,,,,1.608e-24,,,,,5.645e-15,,6.354e-12,1.714e-17,,,,,,,8.482e-16
196.8,4.653e-11,,,,,,,,,,,,1.249e-23,,,,,4.652e-14,,4.648e-11,1.286e-16,,,,,,,6.993e-15
196.9,3.202e-10,,,,,,,,,,,,9.123e-23,,,,,3.606e-13,,3.198e-10,9.093e-16,,,,,,,5.423e-14
197.0,2.073e-9,,,,,,,,,,,2.645e-17,6.269e-22,,,,,2.630e-12,,2.070e-9,6.042e-15,,,,,,,3.956e-13
197.2,7.227e-8,,,,,,,,,,,1.668e-15,2.463e-20,,,,,1.164e-10,,7.213e-8,2.227e-13,,,,,,,1.752e-11
197.3,3.893e-7,,,,,,,,,,,1.209e-14,1.409e-19,,,,,7.068e-10,,3.885e-7,1.236e-12,,,,,,,1.064e-10
197.4,1.973e-6,,,,,,,,,,,8.248e-14,7.577e-19,,,,,4.036e-9,,1.968e-6,6.460e-12,,,,,,,6.079e-10
197.5,9.402e-6,,,,,,,,,,,5.292e-13,3.834e-18,,,,,2.168e-8,,9.377e-6,3.181e-11,,,,,,,3.267e-9
197.7,1.778e-4,,,,,,,,,,,1.815e-11,8.171e-17,,,,,5.208e-7,,1.772e-4,6.452e-10,,,,,,,7.851e-8
197.8,7.053e-4,,,,,,,,,,,9.700e-11,3.441e-16,,,,,2.329e-6,,7.026e-4,2.658e-9,,3.413e-14,,,,,3.512e-7
197.9,2.632e-3,,,,,,,,,,,4.878e-10,1.363e-15,,,,,9.798e-6,,2.621e-3,1.032e-8,,2.748e-13,,,,,1.478e-6
198.0,9.239e-3,,,,,,,,,,,2.308e-9,5.080e-15,,,,,3.877e-5,,9.194e-3,3.779e-8,,2.083e-12,,,,,5.849e-6
198.2,9.476e-2,,,,,,,,4.476e-25,,,4.302e-8,5.872e-14,,,,,5.054e-4,,9.418e-2,4.248e-7,,1.019e-10,,,,,7.627e-5
198.3,2.769e-1,,,,,,,,3.578e-24,,,1.695e-7,1.821e-13,,,,,1.665e-3,,2.750e-1,1.306e-6,,6.469e-10,,,,,2.513e-4
198.4,7.611e-1,,,,,,,,2.692e-23,,,6.286e-7,5.314e-13,,,,,5.158e-3,,7.551e-1,3.787e-6,,3.868e-9,,,,,7.788e-4
198.5,1.968e+0,,,,,,,,1.920e-22,,,2.193e-6,1.458e-12,,,,,1.504e-2,,1.951e+0,1.038e-5,,2.179e-8,,,,,2.271e-3
198.7,1.096e+1,,,,,,,,8.068e-21,,,2.222e-5,9.143e-12,,,,,1.064e-1,,1.083e+1,6.579e-5,,5.788e-7,,,,,1.607e-2
198.8,2.359e+1,,,,,,,,4.779e-20,,,6.457e-5,2.089e-11,,,,,2.581e-1,,2.329e+1,1.524e-4,,2.730e-6,,,,,3.899e-2
198.9,4.777e+1,,,,,,,,2.667e-19,,,1.765e-4,4.489e-11,,,,,5.890e-1,,4.709e+1,3.345e-4,2.512e-13,1.214e-5,,,,,8.901e-2
199.0,9.104e+1,,,,,,,,1.402e-18,,,4.540e-4,9.075e-11,,,,,1.265e+0,,8.958e+1,6.959e-4,1.976e-12,5.093e-5,,,,,1.911e-1
199.2,2.754e+2,,,,,,,,3.237e-17,,,2.502e-3,3.090e-10,,,,,4.854e+0,,2.698e+2,2.576e-3,1.022e-10,7.530e-4,,,,,7.338e-1
199.3,4.373e+2,,,,,,,,1.422e-16,,,5.360e-3,5.206e-10,,,,,8.677e+0,,4.272e+2,4.594e-3,6.721e-10,2.656e-3,,,,,1.312e+0
199.4,6.534e+2,,,,,,,,5.890e-16,,,1.080e-2,8.260e-10,,,,,1.459e+1,,6.366e+2,7.800e-3,4.162e-9,8.851e-3,,,,,2.206e+0
199.5,9.191e+2,,,,,,,,2.299e-15,,,2.049e-2,1.235e-9,,,,,2.308e+1,,8.925e+2,1.262e-2,2.428e-8,2.788e-2,,,,,3.489e+0
199.7,1.520e+3,,,,,,,,2.933e-14,,,6.146e-2,2.319e-9,,,,,4.806e+1,,1.464e+3,2.875e-2,6.908e-7,2.340e-1,,,,,7.267e+0
199.8,1.789e+3,,,,,,,,9.596e-14,,,9.722e-2,2.926e-9,,,,,6.328e+1,,1.715e+3,4.053e-2,3.368e-6,6.242e-1,,,,,9.569e+0
199.9,1.989e+3,,,,,,,,2.961e-13,,,1.449e-1,3.511e-9,,,,,7.837e+1,,1.897e+3,5.468e-2,1.547e-5,1.577e+0,,,,,1.185e+1
200.0,2.095e+3,,,,,,,,8.625e-13,,,2.036e-1,4.031e-9,,,,,9.131e+1,,1.986e+3,7.063e-2,6.694e-5,3.777e+0,,,,,1.381e+1
200.2,2.025e+3,,,,,,,,6.159e-12,,,3.409e-1,4.830e-9,,,,,1.032e+2,,1.887e+3,1.037e-1,1.047e-3,1.847e+1,,,,,1.561e+1
200.3,1.904e+3,,,,,,,,1.511e-11,,,4.104e-1,5.154e-9,,,,,1.001e+2,,1.751e+3,1.180e-1,3.787e-3,3.775e+1,,,,,1.514e+1
200.4,1.788e+3,,,,,,,,3.507e-11,,,4.777e-1,5.482e-9,,,,,9.131e+1,,1.609e+3,1.290e-1,1.290e-2,7.321e+1,,,,,1.381e+1
200.5,1.728e+3,,,,,,,,7.699e-11,,,5.477e-1,5.838e-9,,,,,7.837e+1,,1.502e+3,1.354e-1,4.139e-2,1.348e+2,,,,1.016e-13,1.185e+1
200.7,1.932e+3,,,,,,,,3.151e-10,2.865e-43,,7.595e-1,6.537e-9,,,,,4.806e+1,,1.484e+3,1.331e-1,3.561e-1,3.906e+2,,,,6.239e-12,7.267e+0
200.8,2.231e+3,,,,,,,,5.883e-10,2.174e-42,,9.527e-1,6.735e-9,,,,,3.433e+1,,1.575e+3,1.251e-1,9.551e-1,6.150e+2,,,,4.476e-11,5.192e+0
200.9,2.658e+3,,,,,1.026e-23,,,1.042e-9,1.555e-41,,1.242e+0,6.716e-9,,,,,2.308e+1,,1.708e+3,1.139e-1,2.413e+0,9.195e+2,,,,3.028e-10,3.490e+0
201.0,3.190e+3,,,,,8.217e-23,,,1.752e-9,1.049e-40,,1.644e+0,6.424e-9,,,,,1.459e+1,,1.859e+3,1.009e-1,5.741e+0,1.306e+3,,,,1.931e-9,2.208e+0
201.2,4.453e+3,,,,,4.418e-21,,,4.247e-9,4.005e-39,,2.752e+0,5.067e-9,,,,,4.854e+0,,2.137e+3,7.410e-2,2.717e+1,2.280e+3,,,,6.586e-8,7.466e-1
201.3,5.129e+3,,,,,2.967e-20,,,6.131e-9,2.266e-38,,3.369e+0,4.148e-9,,,,,2.555e+0,,2.244e+3,6.219e-2,5.403e+1,2.824e+3,,,,3.521e-7,4.135e-1
201.4,5.818e+3,,,,,1.879e-19,,,8.420e-9,1.208e-37,,3.931e+0,3.208e-9,,,,,1.266e+0,,2.330e+3,5.190e-2,1.012e+2,3.381e+3,,,,1.775e-6,2.465e-1
201.5,6.543e+3,,,,,1.122e-18,,,1.100e-8,6.078e-37,,4.351e+0,2.340e-9,,,,,5.925e-1,,2.397e+3,4.332e-2,1.786e+2,3.962e+3,,,,8.436e-6,1.947e-1
201.7,8.336e+3,,,,,3.358e-17,,,1.625e-8,1.289e-35,,4.520e+0,1.044e-9,,,,,1.480e-1,,2.464e+3,3.103e-2,4.649e+2,5.402e+3,,,,1.597e-4,3.421e-1
201.8,9.568e+3,,,,,1.683e-16,,,1.839e-8,5.437e-35,,4.233e+0,6.379e-10,,,,,1.745e-1,,2.444e+3,2.708e-2,6.858e+2,6.433e+3,,,,6.364e-4,5.344e-1
