Wavelength (nm),Sum(calc),H I (9.6e-2),He I (7.0e-3),He II (1.8e-8),N I (1.9e-1),N II (1.1e-2),N III (5.5e-11),O I (6.4e-1),O II (2.1e-2),O III (1.5e-12),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (2.9e-2),Ar II (1.4e-3),Ar III (1.4e-10),Mn I (4.9e-5),Mn II (1.4e-3),Fe I (2.2e-5),Fe II (4.8e-4),Fe III (1.1e-6),Cu I (2.6e-5),Cu II (2.7e-4),La I (1.4e-6),La II (1.7e-4),W I (2.3e-5),W II (4.8e-4),W III (1.4e-6)
196.5,4.243e-18,,,,,,,,,,,,,,,,,,,,4.243e-18,,,,,,,
196.7,1.593e-10,,,,,,,,,,,,8.042e-25,,,,,4.205e-13,,1.589e-10,4.284e-16,,,,,,,2.121e-14
196.8,1.166e-9,,,,,,,,,,,,6.245e-24,,,,,3.466e-12,,1.162e-9,3.215e-15,,,,,,,1.748e-13
196.9,8.023e-9,,,,,,,,,,,,4.562e-23,,,,,2.687e-11,,7.995e-9,2.273e-14,,,,,,,1.356e-12
197.0,5.195e-8,,,,,,,,,,,1.322e-17,3.134e-22,,,,,1.959e-10,,5.174e-8,1.510e-13,,,,,,,9.890e-12
197.2,1.812e-6,,,,,,,,,,,8.342e-16,1.232e-20,,,,,8.674e-9,,1.803e-6,5.568e-12,,,,,,,4.381e-10
197.3,9.767e-6,,,,,,,,,,,6.047e-15,7.043e-20,,,,,5.266e-8,,9.712e-6,3.090e-11,,,,,,,2.660e-9
197.4,4.952e-5,,,,,,,,,,,4.124e-14,3.789e-19,,,,,3.007e-7,,4.920e-5,1.615e-10,,,,,,,1.520e-8
197.5,2.361e-4,,,,,,,,,,,2.646e-13,1.917e-18,,,,,1.615e-6,,2.344e-4,7.953e-10,,,,,,,8.166e-8
197.7,4.470e-3,,,,,,,,,,,9.075e-12,4.086e-17,,,,,3.880e-5,,4.430e-3,1.613e-8,,,,,,,1.963e-6
197.8,1.775e-2,,,,,,,,,,,4.850e-11,1.721e-16,,,,,1.735e-4,,1.756e-2,6.645e-8,,5.119e-13,,,,,8.780e-6
197.9,6.628e-2,,,,,,,,,,,2.439e-10,6.817e-16,,,,,7.299e-4,,6.552e-2,2.580e-7,,4.122e-12,,,,,3.694e-5
198.0,2.329e-1,,,,,,,,,,,1.154e-9,2.540e-15,,,,,2.888e-3,,2.299e-1,9.446e-7,,3.124e-11,,,,,1.462e-4
198.2,2.394e+0,,,,,,,,1.477e-20,,,2.151e-8,2.936e-14,,,,,3.765e-2,,2.354e+0,1.062e-5,,1.529e-9,,,,,1.907e-3
198.3,7.005e+0,,,,,,,,1.181e-19,,,8.477e-8,9.106e-14,,,,,1.240e-1,,6.874e+0,3.264e-5,,9.703e-9,,,,,6.282e-3
198.4,1.928e+1,,,,,,,,8.885e-19,,,3.143e-7,2.657e-13,,,,,3.843e-1,,1.888e+1,9.469e-5,,5.802e-8,,,,,1.947e-2
198.5,4.994e+1,,,,,,,,6.335e-18,,,1.096e-6,7.292e-13,,,,,1.120e+0,,4.877e+1,2.594e-4,,3.269e-7,,,,,5.677e-2
198.7,2.792e+2,,,,,,,,2.662e-16,,,1.111e-5,4.571e-12,,,,,7.923e+0,,2.708e+2,1.645e-3,,8.682e-6,,,,,4.016e-1
198.8,6.024e+2,,,,,,,,1.577e-15,,,3.229e-5,1.044e-11,,,,,1.923e+1,,5.822e+2,3.811e-3,,4.095e-5,,,,,9.747e-1
198.9,1.223e+3,,,,,,,,8.801e-15,,,8.826e-5,2.244e-11,,,,,4.388e+1,,1.177e+3,8.363e-3,3.768e-12,1.821e-4,,,,,2.225e+0
199.0,2.339e+3,,,,,,,,4.625e-14,,,2.270e-4,4.537e-11,,,,,9.423e+1,,2.240e+3,1.740e-2,2.964e-11,7.640e-4,,,,,4.779e+0
199.2,7.125e+3,,,,,,,,1.068e-12,,,1.251e-3,1.545e-10,,,,,3.616e+2,,6.745e+3,6.440e-2,1.533e-9,1.130e-2,,,,,1.834e+1
199.3,1.136e+4,,,,,,,,4.694e-12,,,2.680e-3,2.603e-10,,,,,6.464e+2,,1.068e+4,1.148e-1,1.008e-8,3.984e-2,,,,,3.279e+1
199.4,1.706e+4,,,,,,,,1.944e-11,,,5.402e-3,4.130e-10,,,,,1.087e+3,,1.591e+4,1.950e-1,6.244e-8,1.328e-1,,,,,5.514e+1
199.5,2.412e+4,,,,,,,,7.586e-11,,,1.025e-2,6.173e-10,,,,,1.719e+3,,2.231e+4,3.156e-1,3.643e-7,4.182e-1,,,,,8.723e+1
199.7,4.036e+4,,,,,,,,9.680e-10,,,3.073e-2,1.159e-9,,,,,3.580e+3,,3.660e+4,7.187e-1,1.036e-5,3.509e+0,,,,,1.817e+2
199.8,4.784e+4,,,,,,,,3.167e-9,,,4.861e-2,1.463e-9,,,,,4.714e+3,,4.287e+4,1.013e+0,5.053e-5,9.362e+0,,,,,2.392e+2
199.9,5.358e+4,,,,,,,,9.773e-9,,,7.244e-2,1.755e-9,,,,,5.839e+3,,4.742e+4,1.367e+0,2.321e-4,2.366e+1,,,,,2.963e+2
200.0,5.685e+4,,,,,,,,2.846e-8,,,1.018e-1,2.016e-9,,,,,6.803e+3,,4.964e+4,1.766e+0,1.004e-3,5.666e+1,,,,,3.453e+2
200.2,5.554e+4,,,,,,,,2.032e-7,,,1.704e-1,2.415e-9,,,,,7.688e+3,,4.718e+4,2.593e+0,1.571e-2,2.771e+2,,,,,3.902e+2
200.3,5.217e+4,,,,,,,,4.988e-7,,,2.052e-1,2.577e-9,,,,,7.456e+3,,4.376e+4,2.951e+0,5.680e-2,5.662e+2,,,,,3.784e+2
200.4,4.848e+4,,,,,,,,1.157e-6,,,2.388e-1,2.741e-9,,,,,6.803e+3,,4.023e+4,3.224e+0,1.935e-1,1.098e+3,,,,,3.453e+2
200.5,4.572e+4,,,,,,,,2.541e-6,,,2.738e-1,2.919e-9,,,,,5.839e+3,,3.756e+4,3.385e+0,6.208e-1,2.022e+3,,,,2.540e-12,2.963e+2
200.7,4.674e+4,,,,,,,,1.040e-5,9.455e-39,,3.798e-1,3.268e-9,,,,,3.580e+3,,3.711e+4,3.328e+0,5.342e+0,5.859e+3,,,,1.560e-10,1.817e+2
200.8,5.130e+4,,,,,,,,1.941e-5,7.174e-38,,4.764e-1,3.367e-9,,,,,2.558e+3,,3.936e+4,3.128e+0,1.433e+1,9.225e+3,,,,1.119e-9,1.298e+2
200.9,5.834e+4,,,,,1.026e-19,,,3.438e-5,5.133e-37,,6.208e-1,3.358e-9,,,,,1.719e+3,,4.270e+4,2.849e+0,3.619e+1,1.379e+4,,,,7.570e-9,8.725e+1
201.0,6.732e+4,,,,,8.217e-19,,,5.781e-5,3.463e-36,,8.220e-1,3.212e-9,,,,,1.087e+3,,4.649e+4,2.522e+0,8.611e+1,1.960e+4,,,,4.828e-8,5.520e+1
201.2,8.843e+4,,,,,4.418e-17,,,1.402e-4,1.322e-34,,1.376e+0,2.534e-9,,,,,3.617e+2,,5.343e+4,1.853e+0,4.075e+2,3.421e+4,,,,1.646e-6,1.866e+1
201.3,9.948e+4,,,,,2.967e-16,,,2.023e-4,7.476e-34,,1.685e+0,2.074e-9,,,,,1.903e+2,,5.611e+4,1.555e+0,8.105e+2,4.236e+4,,,,8.802e-6,1.034e+1
201.4,1.106e+5,,,,,1.879e-15,,,2.778e-4,3.988e-33,,1.965e+0,1.604e-9,,,,,9.430e+1,,5.826e+4,1.297e+0,1.518e+3,5.072e+4,,,,4.437e-5,6.163e+0
201.5,1.221e+5,,,,,1.122e-14,,,3.631e-4,2.006e-32,,2.176e+0,1.170e-9,,,,,4.414e+1,,5.993e+4,1.083e+0,2.680e+3,5.943e+4,,,,2.109e-4,4.868e+0
201.7,1.496e+5,,,,,3.358e-13,,,5.362e-4,4.254e-31,,2.260e+0,5.220e-10,,,,,1.103e+1,,6.161e+4,7.758e-1,6.974e+3,8.102e+4,,,,3.993e-3,8.553e+0
201.8,1.679e+5,,,,,1.683e-12,,,6.070e-4,1.794e-30,,2.116e+0,3.189e-10,,,,,1.300e+1,,6.110e+4,6.769e-1,1.029e+4,9.650e+4,,,,1.591e-2,1.336e+1
201.9,1.903e+5,,,,,7.950e-12,,,6.571e-4,7.134e-30,,1.872e+0,1.836e-10,,,,,3.112e+1,,5.925e+4,6.104e-1,1.429e+4,1.167e+5,,,,5.977e-2,2.037e+1
202.0,2.166e+5,,,,,3.542e-11,,,6.823e-4,2.675e-29,,1.564e+0,9.958e-11,,,,,8.587e+1,,5.586e+4,5.729e-1,1.870e+4,1.419e+5,,,,2.117e-1,2.978e+1
202.2,2.742e+5,,,,,5.900e-10,,,6.618e-4,3.153e-28,5.007e-14,9.177e-1,2.449e-11,,,,,5.834e+2,,4.501e+4,5.660e-1,2.677e+4,2.018e+5,,,,2.226e+0,5.586e+1
202.3,3.005e+5,,,,,2.205e-9,,,6.261e-4,9.914e-28,3.902e-13,6.445e-1,1.110e-11,,,,,1.397e+3,,3.860e+4,5.831e-1,2.929e+4,2.312e+5,,,,6.609e+0,7.207e+1
202.4,3.230e+5,,,,,7.773e-9,,,5.823e-4,2.939e-27,2.870e-12,4.271e-1,4.743e-12,,,,,3.159e+3,,3.255e+4,6.043e-1,3.017e+4,2.570e+5,,,,1.850e+1,8.975e+1
202.5,3.432e+5,,,,,2.584e-8,,,5.352e-4,8.215e-27,1.993e-11,2.670e-1,1.909e-12,,,,,6.743e+3,,2.764e+4,6.239e-1,2.929e+4,2.794e+5,,,,4.883e+1,1.082e+2
202.7,4.055e+5,,,,,2.395e-7,,,4.390e-4,5.383e-26,8.073e-10,8.753e-2,2.726e-13,,,,,2.586e+4,,2.319e+4,6.550e-1,2.306e+4,3.329e+5,,,,2.852e+2,1.432e+2
202.8,4.727e+5,,,,,6.678e-7,,,3.888e-4,1.262e-25,4.712e-9,4.589e-2,1.400e-13,,,,,4.648e+4,,2.387e+4,6.770e-1,1.870e+4,3.829e+5,,,,6.311e+2,1.570e+2
202.9,5.845e+5,,,,,1.756e-6,,,3.360e-4,2.788e-25,2.595e-8,2.269e-2,2.135e-13,,,,,7.892e+4,,2.611e+4,7.159e-1,1.429e+4,4.637e+5,,,,1.317e+3,1.662e+2
203.0,7.538e+5,,,,,4.355e-6,,,2.812e-4,5.812e-25,1.349e-7,1.057e-2,6.227e-13,,,,,1.266e+5,,2.938e+4,7.821e-1,1.029e+4,5.847e+5,,,,2.591e+3,1.693e+2
203.2,1.274e+6,,,,,2.247e-5,,,1.738e-4,2.118e-24,3.066e-6,1.922e-3,5.633e-12,,,,,2.752e+5,,3.692e+4,1.017e+0,4.454e+3,9.489e+5,,,,8.421e+3,1.542e+2
203.3,1.600e+6,,,,,4.674e-5,,,1.271e-4,3.702e-24,1.340e-5,7.499e-4,1.562e-11,,,,,3.730e+5,,4.046e+4,1.181e+0,2.680e+3,1.169e+6,,,,1.391e+4,1.372e+2
203.4,1.932e+6,,,,,9.170e-5,,,8.822e-5,6.106e-24,5.527e-5,2.757e-4,4.089e-11,,,,,4.781e+5,,4.369e+4,1.360e+0,1.518e+3,1.387e+6,,,,2.171e+4,1.163e+2
203.5,2.234e+6,,,,,1.697e-4,,,5.797e-5,9.502e-24,2.152e-4,9.549e-5,1.009e-10,,,,,5.799e+5,,4.667e+4,1.537e+0,8.105e+2,1.574e+6,,,,3.202e+4,9.420e+1
203.7,2.620e+6,,,,,4.871e-4,,,2.114e-5,1.936e-23,2.742e-3,9.595e-6,5.165e-10,,,,,7.232e+5,,5.201e+4,1.823e+0,1.930e+2,1.786e+6,,,,5.929e+4,5.722e+1
203.8,2.671e+6,,,,,7.560e-4,,,1.171e-5,2.539e-23,8.973e-3,2.833e-6,1.071e-9,,,,,7.441e+5,,5.412e+4,1.909e+0,8.611e+1,1.798e+6,,,,7.496e+4,4.650e+1
203.9,2.630e+6,,,,,1.106e-3,,,6.122e-6,3.151e-23,2.772e-2,9.826e-7,2.093e-9,,,,,7.253e+5,,5.540e+4,1.952e+0,3.619e+1,1.758e+6,,,,9.099e+4,4.254e+1
204.0,2.516e+6,,,,,1.527e-3,,,3.019e-6,3.711e-23,8.081e-2,1.019e-6,3.861e-9,,,,,6.698e+5,,5.546e+4,1.954e+0,1.433e+1,1.684e+6,,,,1.071e+5,4.557e+1
204.2,2.165e+6,,,,,2.441e-3,,,6.162e-7,4.458e-23,5.775e-1,9.284e-6,1.103e-8,,,,,4.863e+5,,5.119e+4,1.862e+0,1.876e+0,1.485e+6,,,,1.420e+5,6.975e+1
