Wavelength (nm),Sum(calc),H I (9.6e-5),He I (5.0e-1),He II (1.3e-6),N I (9.5e-4),N II (5.3e-5),N III (2.7e-13),O I (9.7e-3),O II (3.3e-4),O III (2.3e-14),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-3),Ar II (4.7e-4),Ar III (4.7e-11),Mn I (2.6e-3),Mn II (7.7e-2),Fe I (6.6e-3),Fe II (1.4e-1),Fe III (3.2e-4),Cu I (2.6e-3),Cu II (2.7e-2),La I (8.2e-4),La II (9.9e-2),W I (4.7e-3),W II (9.5e-2),W III (2.7e-4)
196.6,6.129e-9,,,,,,,,,,,,,,,,,,,6.129e-9,1.053e-14,,,,,,,
196.7,4.769e-8,,,,,,,,,,,,8.042e-25,,,,,2.255e-11,,4.766e-8,1.285e-13,,,,,,,4.241e-12
196.8,3.488e-7,,,,,,,,,,,,6.245e-24,,,,,1.858e-10,,3.486e-7,9.645e-13,,,,,,,3.496e-11
197.0,1.553e-5,,,,,,,,,,,1.322e-17,3.134e-22,,,,,1.051e-8,,1.552e-5,4.530e-11,,,,,,,1.978e-9
197.1,9.457e-5,,,,,,,,,,,1.083e-16,2.026e-21,,,,,7.207e-8,,9.448e-5,2.835e-10,,,,,,,1.357e-8
197.2,5.415e-4,,,,,,,,,,,8.342e-16,1.232e-20,,,,,4.651e-7,,5.410e-4,1.670e-9,,,,,,,8.762e-8
197.4,1.478e-2,,,,,,,,,,,4.124e-14,3.789e-19,,,,,1.612e-5,,1.476e-2,4.845e-8,,,,,,,3.040e-6
197.5,7.043e-2,,,,,,,,,,,2.646e-13,1.917e-18,,,,,8.661e-5,,7.033e-2,2.386e-7,,,,,,,1.633e-5
197.6,3.157e-1,,,,,,,,,,,1.598e-12,9.125e-18,,,,,4.377e-4,,3.152e-1,1.107e-6,,,,,,,8.256e-5
197.7,1.331e+0,,,,,,,,,,,9.075e-12,4.086e-17,,,,,2.081e-3,,1.329e+0,4.839e-6,,,,,,,3.926e-4
197.9,1.970e+1,,,,,,,,,,,2.439e-10,6.817e-16,,,,,3.914e-2,,1.965e+1,7.741e-5,,4.122e-10,,,,,7.388e-3
198.0,6.914e+1,,,,,,,,,,,1.154e-9,2.540e-15,,,,,1.549e-1,,6.896e+1,2.834e-4,,3.124e-9,,,,,2.924e-2
198.1,2.282e+2,,,,,,,,,,,5.136e-9,8.904e-15,,,,,5.765e-1,,2.276e+2,9.784e-4,,2.268e-8,,,,,1.089e-1
198.2,7.087e+2,,,,,,,,2.238e-22,,,2.151e-8,2.936e-14,,,,,2.019e+0,,7.063e+2,3.186e-3,,1.529e-7,,,,,3.813e-1
198.4,5.688e+3,,,,,,,,1.346e-20,,,3.143e-7,2.657e-13,,,,,2.060e+1,,5.664e+3,2.841e-2,,5.802e-6,,,,,3.894e+0
198.5,1.470e+4,,,,,,,,9.538e-20,,,1.096e-6,7.292e-13,,,,,6.006e+1,,1.463e+4,7.783e-2,,3.269e-5,,,,,1.135e+1
198.6,3.574e+4,,,,,,,,6.410e-19,,,3.598e-6,1.882e-12,,,,,1.647e+2,,3.555e+4,2.015e-1,,1.735e-4,,,,,3.114e+1
198.7,8.175e+4,,,,,,,,4.034e-18,,,1.111e-5,4.571e-12,,,,,4.248e+2,,8.125e+4,4.934e-1,,8.682e-4,,,,,8.033e+1
198.9,3.560e+5,,,,,,,,1.333e-16,,,8.826e-5,2.244e-11,,,,,2.353e+3,,3.532e+5,2.509e+0,1.256e-10,1.821e-2,,,,,4.450e+2
199.0,6.779e+5,,,,,,,,7.008e-16,,,2.270e-4,4.537e-11,,,,,5.052e+3,,6.719e+5,5.219e+0,2.964e-9,7.640e-2,,,,,9.557e+2
199.1,1.214e+6,,,,,,,,3.470e-15,,,5.494e-4,8.632e-11,,,,,1.021e+4,,1.202e+6,1.030e+1,2.197e-8,3.024e-1,,,,,1.931e+3
199.3,3.246e+6,,,,,,,,7.112e-14,,,2.680e-3,2.603e-10,,,,,3.466e+4,,3.204e+6,3.445e+1,1.008e-6,3.984e+0,,,,,6.559e+3
199.4,4.844e+6,,,,,,,,2.945e-13,,,5.402e-3,4.130e-10,,,,,5.828e+4,,4.774e+6,5.850e+1,6.244e-6,1.328e+1,,,,,1.103e+4
199.5,6.803e+6,,,,,,,,1.149e-12,,,1.025e-2,6.173e-10,,,,,9.218e+4,,6.693e+6,9.467e+1,3.643e-5,4.182e+1,,,,,1.745e+4
199.6,8.997e+6,,,,,,,,4.228e-12,,,1.829e-2,8.704e-10,,,,,1.372e+5,,8.834e+6,1.462e+2,2.002e-4,1.245e+2,,,,,2.596e+4
199.8,1.316e+7,,,,,,,,4.798e-11,,,4.861e-2,1.463e-9,,,,,2.528e+5,,1.286e+7,3.040e+2,5.053e-3,9.362e+2,,,,,4.785e+4
199.9,1.460e+7,,,,,,,,1.481e-10,,,7.244e-2,1.755e-9,,,,,3.131e+5,,1.423e+7,4.101e+2,2.321e-2,2.366e+3,,,,,5.926e+4
200.0,1.533e+7,,,,,,,,4.312e-10,,,1.018e-1,2.016e-9,,,,,3.648e+5,,1.489e+7,5.297e+2,1.004e-1,5.666e+3,,,,,6.905e+4
200.1,1.532e+7,,,,,,,,1.186e-9,,,1.352e-1,2.234e-9,,,,,3.998e+5,,1.483e+7,6.556e+2,4.092e-1,1.286e+4,,,,,7.568e+4
200.3,1.366e+7,,,,,,,,7.557e-9,,,2.052e-1,2.577e-9,,,,,3.998e+5,,1.313e+7,8.853e+2,5.680e+0,5.662e+4,,,,,7.568e+4
200.4,1.261e+7,,,,,,,,1.754e-8,,,2.388e-1,2.741e-9,,,,,3.648e+5,,1.207e+7,9.673e+2,1.935e+1,1.098e+5,,,,,6.905e+4
200.5,1.184e+7,,,,,,,,3.850e-8,,,2.738e-1,2.919e-9,,,,,3.131e+5,,1.127e+7,1.016e+3,6.208e+1,2.022e+5,,,,,5.926e+4
200.6,1.159e+7,,,,,,,,8.002e-8,,,3.170e-1,3.105e-9,,,,,2.528e+5,,1.093e+7,1.026e+3,1.876e+2,3.532e+5,,,,4.100e-9,4.785e+4
200.8,1.290e+7,,,,,,,,2.941e-7,1.087e-39,,4.764e-1,3.367e-9,,,,,1.372e+5,,1.181e+7,9.385e+2,1.433e+3,9.225e+5,,,,2.238e-7,2.596e+4
200.9,1.430e+7,,,,,,,,5.209e-7,7.777e-39,,6.208e-1,3.358e-9,,,,,9.218e+4,,1.281e+7,8.546e+2,3.619e+3,1.379e+6,,,,1.514e-6,1.745e+4
201.0,1.598e+7,,,,,4.108e-21,,,8.759e-7,5.247e-38,,8.220e-1,3.212e-9,,,,,5.828e+4,,1.395e+7,7.566e+2,8.611e+3,1.960e+6,,,,9.657e-6,1.104e+4
201.2,1.951e+7,,,,,2.209e-19,,,2.124e-6,2.003e-36,,1.376e+0,2.534e-9,,,,,1.939e+4,,1.603e+7,5.558e+2,4.075e+4,3.421e+6,,,,3.293e-4,3.733e+3
201.3,2.116e+7,,,,,1.483e-18,,,3.066e-6,1.133e-35,,1.685e+0,2.074e-9,,,,,1.021e+4,,1.683e+7,4.665e+2,8.105e+4,4.236e+6,,,,1.760e-3,2.068e+3
201.4,2.271e+7,,,,,9.395e-18,,,4.210e-6,6.042e-35,,1.965e+0,1.604e-9,,,,,5.056e+3,,1.748e+7,3.892e+2,1.518e+5,5.072e+6,,,,8.874e-3,1.233e+3
201.5,2.419e+7,,,,,5.611e-17,,,5.502e-6,3.039e-34,,2.176e+0,1.170e-9,,,,,2.367e+3,,1.798e+7,3.249e+2,2.680e+5,5.943e+6,,,,4.218e-2,9.737e+2
201.7,2.728e+7,,,,,1.679e-15,,,8.124e-6,6.446e-33,,2.260e+0,5.220e-10,,,,,5.912e+2,,1.848e+7,2.327e+2,6.974e+5,8.102e+6,,,,7.987e-1,1.711e+3
201.8,2.901e+7,,,,,8.413e-15,,,9.197e-6,2.718e-32,,2.116e+0,3.189e-10,,,,,6.972e+2,,1.833e+7,2.031e+2,1.029e+6,9.650e+6,,,,3.182e+0,2.672e+3
201.9,3.088e+7,,,,,3.975e-14,,,9.956e-6,1.081e-31,,1.872e+0,1.836e-10,,,,,1.668e+3,,1.778e+7,1.831e+2,1.429e+6,1.167e+7,,,,1.195e+1,4.074e+3
202.0,3.283e+7,,,,,1.771e-13,,,1.034e-5,4.053e-31,,1.564e+0,9.958e-11,,,,,4.604e+3,,1.676e+7,1.719e+2,1.870e+6,1.419e+7,,,,4.234e+1,5.956e+3
202.2,3.640e+7,,,,,2.950e-12,,,1.003e-5,4.778e-30,,9.177e-1,2.449e-11,,,,,3.128e+4,,1.350e+7,1.698e+2,2.677e+6,2.018e+7,,,,4.452e+2,1.117e+4
202.3,3.772e+7,,,,,1.103e-11,,,9.487e-6,1.502e-29,3.902e-13,6.445e-1,1.110e-11,,,,,7.492e+4,,1.158e+7,1.749e+2,2.929e+6,2.312e+7,,,,1.322e+3,1.441e+4
202.4,3.868e+7,,,,,3.886e-11,,,8.822e-6,4.453e-29,2.870e-12,4.271e-1,4.743e-12,,,,,1.694e+5,,9.765e+6,1.813e+2,3.017e+6,2.570e+7,,,,3.700e+3,1.795e+4
202.5,3.955e+7,,,,,1.292e-10,,,8.109e-6,1.245e-28,1.993e-11,2.670e-1,1.909e-12,,,,,3.615e+5,,8.291e+6,1.872e+2,2.929e+6,2.794e+7,,,,9.767e+3,2.164e+4
202.7,4.403e+7,,,,,1.198e-9,,,6.651e-6,8.155e-28,8.073e-10,8.753e-2,2.726e-13,,,,,1.387e+6,,6.958e+6,1.965e+2,2.306e+6,3.329e+7,,,,5.704e+4,2.864e+4
202.8,4.997e+7,,,,,3.339e-9,,,5.891e-6,1.911e-27,4.712e-9,4.589e-2,1.400e-13,,,,,2.492e+6,,7.161e+6,2.031e+2,1.870e+6,3.829e+7,,,,1.262e+5,3.141e+4
202.9,6.016e+7,,,,,8.781e-9,,,5.092e-6,4.225e-27,2.595e-8,2.269e-2,2.135e-13,,,,,4.232e+6,,7.832e+6,2.148e+2,1.429e+6,4.637e+7,,,,2.634e+5,3.325e+4
